WiscID,WBIC,SiteName,CountyName,Date,NumOb,Units,Value,precipCMDV
3,8900,Forest Lake,Fond Du Lac,1994/05,1,mm,2862.072,218.5323944
3,8900,Forest Lake,Fond Du Lac,1994/06,1,mm,2700.528,215.3014832
3,8900,Forest Lake,Fond Du Lac,1994/07,1,mm,2700.528,273.0606384
3,8900,Forest Lake,Fond Du Lac,1994/08,1,mm,2712.72,298.5156555
3,8900,Forest Lake,Fond Du Lac,1995/02,1,mm,2606.04,71.40089417
3,8900,Forest Lake,Fond Du Lac,1995/04,1,mm,2651.76,54.80006409
3,8900,Forest Lake,Fond Du Lac,1995/06,1,mm,2606.04,13.94231224
3,8900,Forest Lake,Fond Du Lac,1995/07,1,mm,2468.88,-1.016942978
3,8900,Forest Lake,Fond Du Lac,1995/08,1,mm,2432.304,81.04480743
3,8900,Forest Lake,Fond Du Lac,1996/02,1,mm,2538.984,-21.28469658
3,8900,Forest Lake,Fond Du Lac,1996/05,1,mm,2557.272,-80.26669312
3,8900,Forest Lake,Fond Du Lac,1996/06,1,mm,2734.056,66.06863403
3,8900,Forest Lake,Fond Du Lac,1996/07,1,mm,2746.248,77.59896851
3,8900,Forest Lake,Fond Du Lac,1996/08,1,mm,2673.096,70.59630585
3,8900,Forest Lake,Fond Du Lac,2005/06,1,mm,2657.856,247.1705322
3,8900,Forest Lake,Fond Du Lac,2005/07,1,mm,2493.264,286.1045532
4,8900,Forest Lake,Fon du Lac ,1967/09,1,mm,28885.896,-27.51987648
4,8900,Forest Lake,Fon du Lac ,1970/06,1,mm,29419.296,-115.5652237
4,8900,Forest Lake,Fon du Lac ,1984/04,1,mm,29492.448,501.7945862
4,8900,Forest Lake,Fon du Lac ,1985/09,1,mm,29513.784,782.7460938
7,26400,Haneman Lake,Ozaukee ,1967/06,1,mm,28827.984,53.56509399
7,26400,Haneman Lake,Ozaukee ,1981/08,1,mm,28992.576,395.6112976
11,41900,Dickman Lake,Fon du Lac ,1960/09,1,mm,29169.36,186.0077515
11,41900,Dickman Lake,Fon du Lac ,1970/08,1,mm,28943.808,-154.4350891
11,41900,Dickman Lake,Fon du Lac ,1974/06,1,mm,29074.872,344.8973083
13,42800,Cedar Lake,Fon du Lac ,1970/07,1,mm,29553.408,-125.4081116
