"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[1,1]",-0.00192818473668768,0.328760318269643,-0.643327293748923,-0.220577783838108,-0.00153972571790825,0.215991917381487,0.649592938786653,1.00036150461576,7619,1,0.5022
"BB[2,1]",-0.00571184628897006,0.401276670709637,-0.821709100980682,-0.261167139255676,-0.00267345970057326,0.255373072228024,0.789375225204025,1.00000520601019,25000,1,0.50304
"BB[3,1]",-0.00959208388400815,0.395137473587901,-0.804813091097019,-0.266339121340917,-0.00601006460069207,0.248270727166026,0.761968482315371,1.00032246840351,7971,1,0.50632
"BB[4,1]",-0.00331576933497868,0.404988431879753,-0.814757404464216,-0.266613726354331,4.21195676953284e-05,0.264472505284563,0.78346584925075,1.00032700819702,8062,1,0.49988
"BB[5,1]",-0.00607510071351754,0.399996870426103,-0.797209428473004,-0.26678170631901,-0.0057072356304767,0.253272165619005,0.785365813535114,1.00024808121592,18941,1,0.50588
"BB[6,1]",-0.00461800418955494,0.381912690503216,-0.758070761393836,-0.254839370811093,-0.00174850653924953,0.251091579255582,0.739105732052694,1.00008632179647,23108,1,0.5018
"BB[7,1]",-0.00942129297144735,0.400255575091244,-0.812408391209896,-0.268702307972129,-0.00649283329865125,0.251272976884178,0.772145196956481,1.0004692067869,6523,1,0.5062
"BB[8,1]",-0.00485327334319626,0.402285675035491,-0.819671605569344,-0.261443411544904,-0.00231726586617062,0.257887153796172,0.784027220166817,1.0000750137253,23550,1,0.50204
"BB[9,1]",-0.00577177350150116,0.398598630807076,-0.812884069495674,-0.261477708896969,-0.00162319351959792,0.253116540408223,0.779712177928217,1.00008072470949,22257,1,0.50212
"BB[10,1]",-0.00803464412031827,0.403766502977156,-0.811861731682714,-0.271732128017121,-0.00862349619220538,0.256014203721583,0.793057035699709,1.00043512431869,9776,1,0.50952
"BB[11,1]",-0.0075304106215137,0.448687682341625,-0.894761517974279,-0.300883139261548,-0.00723531301973196,0.285427159902002,0.877365119480353,1.00028005337152,11311,1,0.5062
"BB[12,1]",-0.00622414527680622,0.406183388157172,-0.825666905414437,-0.268317791343175,-0.00378139386014507,0.258248681376957,0.795343967489254,1.00032782471807,13040,1,0.50384
"BB[13,1]",-0.00464342250517757,0.401807512358929,-0.800594608340701,-0.267584014550972,-0.00227849926946901,0.255247957876007,0.794722169486429,1.00037568501576,7258,1,0.50272
"BB[14,1]",-0.00852860966181897,0.394924039089187,-0.793255896635789,-0.266981394091501,-0.00775136671072826,0.24793028479593,0.76997545343447,1.00036418816312,7946,1,0.50736
"BB[15,1]",-0.00833032440131942,0.40132793644133,-0.81262347468739,-0.27290917083293,-0.00493619585506656,0.251690019983519,0.784788396968079,1.0002529950274,9153,1,0.50484
"BB[16,1]",-0.00490443293447666,0.398168738593222,-0.798921822941234,-0.260649926158223,-0.00411345209364168,0.254866036580813,0.774977114386468,1.00007304334654,22182,1,0.50456
"BB[17,1]",-0.003371648952563,0.402188034131565,-0.805774005697138,-0.266034874214131,-0.000789127532009888,0.260197674303415,0.788443037447363,1.0003100505967,9447,1,0.50052
"BB[18,1]",-0.00631127861561988,0.399079109496986,-0.800004555960097,-0.26636948421863,-0.0055949925301343,0.252797955629958,0.77949645439042,1.00025562822186,11077,1,0.50604
"BB[19,1]",-0.00273843937761578,0.394499555197096,-0.788828602335369,-0.256702764320573,-0.00280941367770116,0.252311484329568,0.775115496264966,1.00054202809959,5337,1,0.50284
"BB[20,1]",-0.00752946256675295,0.395655816740269,-0.793869437781661,-0.263471817970239,-0.00867213084798421,0.250926170308842,0.774461003204636,1.00021862057406,12091,1,0.51
"BB[21,1]",-0.00512006256865265,0.399958262184402,-0.791706026461136,-0.266653594342492,-0.00565845368404935,0.252282627454859,0.79648908741183,1.00008140941025,25000,1,0.5064
"BB[22,1]",-0.00454526498827983,0.399629715924728,-0.799761521987081,-0.264734288365368,-0.00253717118203262,0.254256618843483,0.779979867018966,1.00026599846523,10549,1,0.50304
"BB[23,1]",-0.0106985650844109,0.378879119117573,-0.760113699670313,-0.257359767567323,-0.00881937814791621,0.23916696390574,0.736603755719763,1.00001078198632,25000,1,0.50968
"BB[24,1]",-0.00503989177953466,0.39966425246392,-0.811307636194323,-0.258315223233136,-0.00403963875547879,0.25640769297627,0.774774037255461,1.00006965391156,21444,1,0.50456
"BB[25,1]",-0.00836537590567983,0.394401327136367,-0.801796150479476,-0.261891925582303,-0.00732472808574167,0.248413608533491,0.761611095919269,1.00014255229287,19872,1,0.50724
"BB[26,1]",-0.00414531678113203,0.399965383727019,-0.808572165882518,-0.263765352807818,-0.00238339831725301,0.257417082696821,0.784622107190348,1.00009517194781,22293,1,0.50224
"BB[27,1]",-0.0045121632557662,0.399952445662209,-0.80426051009356,-0.264063451954536,-0.00217609001251512,0.258859646271822,0.77867865291652,1.00000700598322,25000,1,0.5022
"BB[28,1]",-0.00511194230957772,0.402514904054007,-0.813008122911663,-0.266233674948059,-0.000797858996811493,0.257148544535211,0.784110936164243,1.00094626170659,3224,1,0.50072
"BB[29,1]",-0.00319513894876239,0.347485187762928,-0.692260235460226,-0.230949070515548,-0.00326080910351769,0.224057510743647,0.682924986447347,1.00008229363772,18886,1,0.5034
"BB[30,1]",-0.00803267871040107,0.326177199857221,-0.646000233476745,-0.224303951041779,-0.00701030903448251,0.206333335960125,0.642039506750412,1.00013086636509,15370,1,0.5086
"BB[31,1]",-0.000817214739357529,0.380981468168643,-0.761618810909106,-0.248634756963891,-0.00071296736301818,0.246702796740691,0.750788432317254,1.00012094941131,14393,1,0.5008
"BB[32,1]",-0.00270549680829263,0.320944802184797,-0.635307009503313,-0.215495180159548,-0.00284426689370335,0.210673816641094,0.630939437399165,1.0001150597184,22027,1,0.50368
"BB[33,1]",-0.00753211557486697,0.373963334267607,-0.755045794742393,-0.248050237629603,-0.00660592540864873,0.233906790651185,0.730409875141389,1.00014048635424,25000,1,0.50792
"BB[34,1]",-0.0029621611036842,0.334562250805137,-0.654905870230648,-0.225623578367282,-0.00139600828319873,0.218112434179512,0.658188222046117,1.00020960136826,11616,1,0.50192
"BB[35,1]",-0.00793209337792245,0.373473339801167,-0.751315550142228,-0.252667881065947,-0.00658031300648138,0.2400212802127,0.715867453598024,1.00011178263168,19432,1,0.5068
"BB[36,1]",-0.00262097819590224,0.323467162969176,-0.636690738925861,-0.218231637378291,-0.00390733774341614,0.213929013263155,0.637422290910809,0.999986949634194,25000,1,0.50432
"BB[37,1]",-0.00698488234020526,0.402697608903946,-0.804675482102323,-0.267661637456144,-0.00594318629668093,0.254643414551382,0.784424694405538,1.00028567290946,9799,1,0.50532
"BB[38,1]",-0.00276243018584604,0.387216068320768,-0.77128533130892,-0.253862299144165,-0.00447206268955842,0.247536184393413,0.762767715670677,1.00043220943193,6415,1,0.50508
"BB[39,1]",-0.00347631565122078,0.31222894477139,-0.610153469009985,-0.213114493143325,-0.000677751420691097,0.20380533618367,0.609391381062933,1.00038945209947,7020,1,0.50136
"BB[40,1]",-0.0046979976495123,0.408520768619585,-0.823302579286879,-0.273296460088544,-0.00456249111857771,0.263573127137313,0.802176197913623,1.00050260417398,5811,1,0.50388
"BB[41,1]",-0.0094044668646028,0.398494709312223,-0.802482865997472,-0.270521654261024,-0.00840711316312467,0.25299383317298,0.773772422502172,1.00025420723811,10833,1,0.50944
