"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[1,1]",-1.49596462318381,0.101934454502272,-1.71031847909136,-1.56285161639772,-1.49462947679809,-1.42697597144404,-1.29509512788531,1.00196559309322,878,0,1
"BB[2,1]",-1.74635265718631,0.241880660374805,-2.22205540396308,-1.91228214273051,-1.74674348279315,-1.58182460012604,-1.28088066376014,1.00049829585623,1500,0,1
"BB[3,1]",-1.62894463249602,0.345136966798145,-2.29722303094998,-1.86832078621404,-1.62840631742039,-1.39822830107511,-0.952153096303251,1.00290177104861,1500,0,1
"BB[4,1]",-1.16086969911319,0.424461053017779,-1.98561083268659,-1.44145085448057,-1.1710471997712,-0.883832652433516,-0.300008788512243,1.0011980706725,1500,0,0.997333333333333
"BB[5,1]",-1.45390320765933,0.373465671709037,-2.19389631700639,-1.70105446263266,-1.45769679699289,-1.20949647197803,-0.720707178440153,1.00138915512584,1182,0,1
"BB[6,1]",-1.04628621898609,0.323947219694943,-1.68061026977719,-1.26025830900406,-1.04164918399307,-0.835740213525112,-0.430575770072805,0.999918280396735,1500,0,0.998666666666667
"BB[7,1]",-0.66933127997704,0.282612513789212,-1.19603237828358,-0.861642227281981,-0.673721344740609,-0.479600895130302,-0.104951686307222,1.0008110293084,1500,0,0.988
"BB[8,1]",-1.55254687689492,0.259260981067873,-2.05304520144124,-1.72266606682301,-1.55374428211476,-1.3795133184572,-1.03807514603177,0.999697154218127,1500,0,1
"BB[9,1]",-1.0475117805259,0.368345545848427,-1.76767404965847,-1.28668571212263,-1.05423658724198,-0.801409205481595,-0.330672563497104,0.999656045996598,1500,0,0.998666666666667
"BB[10,1]",-0.848357071758926,0.427215198283258,-1.67388336387792,-1.1423329811175,-0.85286221517366,-0.566121777489097,-0.00428171805645808,1.00172614459367,1500,0,0.975333333333333
"BB[11,1]",-0.920162781774085,0.296882068714294,-1.50766378965413,-1.12109250184374,-0.920170824434808,-0.718584087251371,-0.357608363082638,1.0007632217435,1170,0,0.998666666666667
"BB[12,1]",-1.19959394585319,0.156365670878566,-1.51675440826737,-1.30072759093434,-1.20387986565462,-1.09533004837649,-0.885201813605752,1.00052469584614,1457,0,1
"BB[13,1]",-1.36704279238691,0.113934636560722,-1.59220771742956,-1.44331218020606,-1.36747006802977,-1.28895524349865,-1.14611588545466,1.00153357627589,983,0,1
"BB[14,1]",-1.91113958872188,0.201469941876127,-2.28718364547579,-2.05356082511681,-1.91341715206627,-1.77251108717899,-1.52148899896076,1.00059007072847,1374,0,1
"BB[15,1]",-2.26461008824027,0.479062106883198,-3.28400366976291,-2.57327399951618,-2.2608828945198,-1.93686815645778,-1.34973330196042,1.00407556502846,823,0,1
"BB[16,1]",-1.28239285300189,0.405074999691864,-2.07731318785202,-1.55482886866069,-1.27987912499911,-1.00431403232002,-0.503555926297639,1.00061786486243,1432,0,0.998666666666667
"BB[17,1]",-1.24945656247416,0.251035897010321,-1.74509756300873,-1.42089604210593,-1.25895118897123,-1.07838782385635,-0.757329075116182,1.00105219677008,1225,0,1
"BB[18,1]",-1.17625644700484,0.168242797900662,-1.50304036724322,-1.28520779376806,-1.17898349068452,-1.07031486583599,-0.838040223681205,1.00039260303411,1500,0,1
"BB[19,1]",-0.617207996317016,0.119980933213611,-0.847862256040834,-0.697354804436579,-0.617306055706711,-0.537942215219094,-0.383066002344152,1.00633219898635,285,0,1
"BB[20,1]",-1.95872099489404,0.162521294021178,-2.2654652243751,-2.07315157359281,-1.96333802095814,-1.84681439891833,-1.6258326127074,0.999534770365948,1500,0,1
"BB[21,1]",-1.194019942287,0.121598401365536,-1.43471588579904,-1.27412230569291,-1.19573286941702,-1.11222291415845,-0.955772343239389,1.00182925402684,774,0,1
"BB[22,1]",-1.29719049196263,0.351924782575812,-1.95586772599175,-1.52909137812392,-1.30655208101537,-1.06656670488071,-0.60693013453507,1.00209125329461,1500,0,0.999333333333333
"BB[23,1]",-1.6334048719036,0.217663658371903,-2.06543502619721,-1.77462986291671,-1.63772717323434,-1.48305355511456,-1.20855410293835,1.0022197874719,725,0,1
"BB[24,1]",-1.71387947841707,0.103193502329759,-1.91701834146352,-1.7817075674435,-1.71052329472524,-1.64057539674337,-1.51930254993003,1.00319527743685,529,0,1
"BB[25,1]",-0.0960762723029754,0.354118799814806,-0.758000044126455,-0.350153809582828,-0.104147256371862,0.144685238513187,0.60795035790482,1.00097428862422,1313,1,0.606
