"","WiscID","WBIC","LakeName","Year","Date1","Date2","DeltaDate","Stage1","Stage2","DeltaWaterLevel_ft","Precip_ft","Evap_ft"
"4465","422","1005800","Moon Lake","1992",1992-06-22,1992-07-22,30,11.11,11.22,0.110000000000001,0.407368784,-0.200455994161089
"4466","422","1005800","Moon Lake","1992",1992-07-22,1992-08-25,34,11.22,10.92,-0.300000000000001,0.15527848,-0.26917153827001
"4467","422","1005800","Moon Lake","1993",1993-06-28,1993-07-14,16,11.59,11.54,-0.0500000000000007,0.093549864,-0.151925390032719
"4468","422","1005800","Moon Lake","1993",1993-07-14,1993-08-09,26,11.54,11.35,-0.19,0.186602152,-0.217010425682076
"4469","422","1005800","Moon Lake","1994",1994-06-15,1994-07-20,35,11.01,11.01,0,0.522586656,-0.273166118715855
"4470","422","1005800","Moon Lake","1994",1994-07-20,1994-08-16,27,11.01,10.71,-0.299999999999999,0.199570616,-0.212037321558897
"4471","422","1005800","Moon Lake","1995",1995-06-13,1995-07-19,36,10.82,10.72,-0.0999999999999996,0.334692512,-0.284545270920942
"4472","422","1005800","Moon Lake","1995",1995-07-19,1995-08-16,28,10.72,10.87,0.149999999999999,0.559739216,-0.201706633531267
"4473","422","1005800","Moon Lake","1996",1996-05-15,1996-06-27,43,11.53,11.56,0.0300000000000011,0.34812444,-0.131451145390394
"4474","422","1005800","Moon Lake","1996",1996-06-27,1996-07-23,26,11.56,11.57,0.00999999999999979,0.407961152,-0.18818363121208
"4475","422","1005800","Moon Lake","1996",1996-07-23,1996-08-14,22,11.57,11.82,0.25,0.337302408,-0.173858883346432
"4476","430","1012500","Plainfield Lake","1978",1978-05-20,1978-08-04,76,84.68,85.56,0.879999999999995,0.98557768,-0.673888801988255
"4477","430","1012500","Plainfield Lake","1978",1978-08-04,1978-09-01,28,85.56,85.61,0.0499999999999972,0.26000232,-0.243865122882839
"4478","430","1012500","Plainfield Lake","1978",1978-09-01,1978-10-18,47,85.61,86.05,0.439999999999998,0.6266932,-0.212631101578282
"4479","430","1012500","Plainfield Lake","1979",1979-05-15,1979-06-15,31,87.81,88.32,0.509999999999991,0.328628448,-0.165899634371168
"4480","430","1012500","Plainfield Lake","1979",1979-06-15,1979-07-12,27,88.32,88.54,0.220000000000013,0.224605544,-0.247055616228068
"4481","430","1012500","Plainfield Lake","1979",1979-07-12,1979-08-14,33,88.54,88.58,0.039999999999992,0.425154256,-0.298559529415239
"4482","430","1012500","Plainfield Lake","1979",1979-08-14,1979-09-13,30,88.58,88.68,0.100000000000009,0.275384536,-0.226464991468483
"4483","430","1012500","Plainfield Lake","1979",1979-09-13,1979-10-15,32,88.68,88.6,-0.0800000000000125,0.120939832,-0.163714959946917
"4484","433","1015200","South Neva Lake - Staff Gage","2015",2015-08-27,2015-09-13,17,1.01,1.1,0.0900000000000001,0.191887872,NA
"4485","433","1015200","South Neva Lake - Staff Gage","2015",2015-09-13,2015-10-04,21,1.1,0.96,-0.14,0.215343808,NA
"4486","433","1015200","South Neva Lake - Staff Gage","2015",2015-10-04,2015-10-24,20,0.96,0.96,0,0.06582304,NA
"4487","433","1015200","South Neva Lake - Staff Gage","2015",2015-10-24,2015-11-11,18,0.96,1.02,0.0600000000000001,0.16567116,NA
"4318","40","102100","Bughs Lake","1973",1973-07-03,1973-09-07,66,869.67,868.86,-0.809999999999945,0.48747688,-0.600462514154658
"4319","40","102100","Bughs Lake","1973",1973-09-07,1973-09-27,20,868.86,868.84,-0.0199999999999818,0.1780548,-0.150101080397649
"4464","42","102600","Crooked Lake","1973",1973-06-14,1973-09-21,99,97.16,96.99,-0.170000000000002,0.70437672,-0.89598993891181
"4691","45","103100","Twin Lakes","2002",2002-06-06,2002-07-11,35,10.95,10.73,-0.219999999999999,0.595414136,-0.461899882587363
"4692","45","103100","Twin Lakes","2002",2002-07-11,2002-08-12,32,10.73,10.54,-0.190000000000001,0.238557024,-0.372313334173157
"4693","45","103100","Twin Lakes","2004",2004-06-22,2004-07-08,16,9.73,9.83,0.0999999999999996,0.236869136,-0.176169242648637
"4694","45","103100","Twin Lakes","2004",2004-07-08,2004-08-23,46,9.83,10.05,0.220000000000001,0.354375792,-0.425563149755567
"4695","47","103600","Goose Lake","1983",1983-06-02,1983-08-30,89,99.05,98.5,-0.549999999999997,0.931501632,-0.877471210467595
"4696","47","103600","Goose Lake","1984",1984-05-15,1984-06-04,20,98.89,98.5,-0.390000000000001,0.175981512,-0.148308528384353
"4697","48","103900","Irogami Lake","1966",1966-08-30,1966-09-17,18,0.61,0.49,-0.12,0.093808,NA
"4698","48","103900","Irogami Lake","1966",1966-09-17,1966-10-08,21,0.49,0.34,-0.15,0.02139544,NA
"4699","48","103900","Irogami Lake","1966",1966-10-08,1966-10-31,23,0.34,0.22,-0.12,0.04944272,NA
"4700","48","103900","Irogami Lake","1967",1967-05-16,1967-06-13,28,0.72,0.71,-0.01,0.31912104,NA
"4701","48","103900","Irogami Lake","1967",1967-06-13,1967-10-19,128,0.71,0.34,-0.37,0.88225768,NA
"4702","48","103900","Irogami Lake","1968",1968-05-22,1968-06-19,28,0.62,0.45,-0.17,0.24514064,NA
"4703","48","103900","Irogami Lake","1968",1968-06-19,1968-07-24,35,0.45,0.76,0.31,0.60822024,NA
"4704","48","103900","Irogami Lake","1968",1968-07-24,1968-08-22,29,0.76,0.52,-0.24,0.26976032,NA
"4705","48","103900","Irogami Lake","1968",1968-08-22,1968-09-18,27,0.52,0.56,0.04,0.33782688,NA
"4706","48","103900","Irogami Lake","1968",1968-09-18,1968-10-24,36,0.56,0.42,-0.14,0.15009936,NA
"4707","48","103900","Irogami Lake","1969",1969-05-26,1969-06-17,22,1.1,1.06,-0.04,0.21076296,NA
"4708","48","103900","Irogami Lake","1969",1969-06-17,1969-07-23,36,1.06,1.16,0.0999999999999999,0.5364276,NA
"4709","48","103900","Irogami Lake","1969",1969-07-23,1969-08-25,33,1.16,0.8,-0.36,0.10885992,NA
"4710","48","103900","Irogami Lake","1969",1969-08-25,1969-09-16,22,0.8,0.72,-0.0800000000000001,0.1687068,NA
"4711","48","103900","Irogami Lake","1969",1969-09-16,1969-10-21,35,0.72,0.81,0.0900000000000001,0.3443672,NA
"4712","48","103900","Irogami Lake","1970",1970-05-27,1970-06-23,27,0.73,0.66,-0.07,0.2507724,NA
"4713","48","103900","Irogami Lake","1970",1970-06-23,1970-07-22,29,0.66,0.47,-0.19,0.18199408,NA
"4714","48","103900","Irogami Lake","1970",1970-07-22,1970-08-13,22,0.47,0.28,-0.19,0.15655768,NA
"4715","48","103900","Irogami Lake","1970",1970-08-13,1970-09-14,32,0.28,0.2,-0.08,0.38090312,NA
"4716","48","103900","Irogami Lake","1970",1970-09-14,1970-09-30,16,0.2,0.38,0.18,0.30257344,NA
"4717","48","103900","Irogami Lake","1970",1970-09-30,1970-10-17,17,0.38,0.22,-0.16,0.03666056,NA
"4718","48","103900","Irogami Lake","1970",1970-10-17,1970-11-14,28,0.22,0.48,0.26,0.28546168,NA
"4719","48","103900","Irogami Lake","1971",1971-05-15,1971-06-05,21,0.9,1.1,0.2,0.18099368,NA
"4720","48","103900","Irogami Lake","1971",1971-06-05,1971-06-26,21,1.1,1.06,-0.04,0.237964,NA
"4721","48","103900","Irogami Lake","1971",1971-06-26,1971-07-17,21,1.06,0.82,-0.24,0.1022212,NA
"4722","48","103900","Irogami Lake","1971",1971-07-17,1971-08-07,21,0.82,0.76,-0.0599999999999999,0.17546032,NA
"4723","48","103900","Irogami Lake","1971",1971-08-07,1971-08-27,20,0.76,0.7,-0.0600000000000001,0.23370984,NA
"4724","48","103900","Irogami Lake","1971",1971-08-27,1971-09-11,15,0.7,0.5,-0.2,0.03147816,NA
"4725","48","103900","Irogami Lake","1971",1971-09-11,1971-09-30,19,0.5,0.7,0.2,0.19634736,NA
"4726","48","103900","Irogami Lake","1971",1971-09-30,1971-10-16,16,0.7,0.6,-0.1,0.07158928,NA
"4727","48","103900","Irogami Lake","1971",1971-10-16,1971-11-12,27,0.6,0.68,0.0800000000000001,0.24077496,NA
"4728","48","103900","Irogami Lake","1972",1972-05-20,1972-06-06,17,1.16,0.98,-0.18,0.07104808,NA
"4729","48","103900","Irogami Lake","1972",1972-06-06,1972-06-24,18,0.98,0.82,-0.16,0.1793832,NA
"4730","48","103900","Irogami Lake","1972",1972-06-24,1972-07-15,21,0.82,0.68,-0.14,0.18219088,NA
"4731","48","103900","Irogami Lake","1972",1972-07-15,1972-08-04,20,0.68,0.64,-0.04,0.21221928,NA
"4732","48","103900","Irogami Lake","1972",1972-08-04,1972-08-19,15,0.64,0.7,0.0599999999999999,0.25178592,NA
"4733","48","103900","Irogami Lake","1972",1972-08-19,1972-09-09,21,0.7,0.76,0.0600000000000001,0.38477024,NA
"4734","48","103900","Irogami Lake","1972",1972-09-09,1972-09-30,21,0.76,1.2,0.44,0.5421348,NA
"4735","48","103900","Irogami Lake","1972",1972-09-30,1972-10-17,17,1.2,1.12,-0.0799999999999998,0.03479752,NA
"4736","48","103900","Irogami Lake","1972",1972-10-17,1972-11-11,25,1.12,1.26,0.14,0.26664432,NA
"4737","48","103900","Irogami Lake","1973",1973-05-19,1973-06-08,20,1.36,1.5,0.14,0.30852336,NA
"4738","48","103900","Irogami Lake","1973",1973-06-08,1973-06-26,18,1.5,1.47,-0.03,0.16610248,NA
"4739","48","103900","Irogami Lake","1973",1973-06-26,1973-07-14,18,1.47,1.32,-0.15,0.07270448,NA
"4740","48","103900","Irogami Lake","1973",1973-07-14,1973-08-04,21,1.32,1.2,-0.12,0.11664664,NA
"4741","48","103900","Irogami Lake","1973",1973-08-04,1973-08-25,21,1.2,1.4,0.2,0.24607544,NA
"4742","48","103900","Irogami Lake","1973",1973-08-25,1973-09-15,21,1.4,1.34,-0.0599999999999998,0.067732,NA
"4743","48","103900","Irogami Lake","1973",1973-09-15,1973-09-30,15,1.34,1.5,0.16,0.1797112,NA
"4744","48","103900","Irogami Lake","1973",1973-09-30,1973-10-16,16,1.5,1.52,0.02,0.14322776,NA
"4745","48","103900","Irogami Lake","1973",1973-10-16,1973-11-13,28,1.52,1.62,0.1,0.12028744,NA
"4746","48","103900","Irogami Lake","1974",1974-05-17,1974-06-01,15,1.88,1.86,-0.0199999999999998,0.13068176,NA
"4747","48","103900","Irogami Lake","1974",1974-06-01,1974-06-22,21,1.86,1.96,0.0999999999999999,0.38589528,NA
"4748","48","103900","Irogami Lake","1974",1974-06-22,1974-07-13,21,1.96,1.78,-0.18,0.09681248,NA
"4749","48","103900","Irogami Lake","1974",1974-07-13,1974-08-03,21,1.78,1.8,0.02,0.15218216,NA
"4750","48","103900","Irogami Lake","1974",1974-08-03,1974-08-24,21,1.8,1.84,0.04,0.16984824,NA
"4751","48","103900","Irogami Lake","1974",1974-08-24,1974-09-14,21,1.84,1.7,-0.14,0.13232504,NA
"4752","48","103900","Irogami Lake","1974",1974-09-14,1974-09-30,16,1.7,1.68,-0.02,0.05235536,NA
"4753","48","103900","Irogami Lake","1974",1974-09-30,1974-10-19,19,1.68,1.7,0.02,0.1077152,NA
"4754","48","103900","Irogami Lake","1974",1974-10-19,1974-11-14,26,1.7,1.84,0.14,0.18054432,NA
"4755","48","103900","Irogami Lake","1975",1975-05-17,1975-06-07,21,1.88,1.8,-0.0799999999999998,0.27068528,NA
"4756","48","103900","Irogami Lake","1975",1975-06-07,1975-06-25,18,1.8,1.96,0.16,0.221564,NA
"4757","48","103900","Irogami Lake","1975",1975-06-25,1975-07-12,17,1.96,1.72,-0.24,0.1118808,NA
"4758","48","103900","Irogami Lake","1975",1975-07-12,1975-08-02,21,1.72,1.48,-0.24,0.057236,NA
"4759","48","103900","Irogami Lake","1975",1975-08-02,1975-08-23,21,1.48,1.68,0.2,0.27736664,NA
"4760","48","103900","Irogami Lake","1975",1975-08-23,1975-09-13,21,1.68,1.86,0.18,0.39019864,NA
"4761","48","103900","Irogami Lake","1975",1975-09-13,1975-09-30,17,1.86,1.78,-0.0800000000000001,0.04538864,NA
"4762","48","103900","Irogami Lake","1975",1975-09-30,1975-10-18,18,1.78,1.7,-0.0800000000000001,0.0286672,NA
"4763","48","103900","Irogami Lake","1976",1976-08-27,1976-09-21,25,1.05,0.82,-0.23,0.06003712,NA
"4764","48","103900","Irogami Lake","1976",1976-09-21,1976-10-19,28,0.82,0.74,-0.08,0.08321032,NA
"4765","48","103900","Irogami Lake","1978",1978-10-18,1978-11-14,27,1.08,1.08,0,0.10013184,NA
"4766","48","103900","Irogami Lake","1979",1979-05-16,1979-07-12,57,1.81,1.73,-0.0800000000000001,0.511566184,NA
"4767","48","103900","Irogami Lake","1979",1979-07-12,1979-08-15,34,1.73,1.72,-0.01,0.435691256,NA
"4768","48","103900","Irogami Lake","1979",1979-08-15,1979-09-13,29,1.72,1.76,0.04,0.264380136,NA
"4769","48","103900","Irogami Lake","1979",1979-09-13,1979-10-15,32,1.76,1.58,-0.18,0.137654056,NA
"4770","50","104000","Jordon Lake","1976",1976-06-14,1976-10-20,128,904.65,903.24,-1.40999999999997,0.70965752,-1.21905735809914
"4771","50","104000","Jordon Lake","1983",1983-05-24,1983-08-31,99,906.42,906.18,-0.240000000000009,1.116622208,-0.947056973671052
"4772","50","104000","Jordon Lake","1985",1985-06-13,1985-08-20,68,907.08,906.99,-0.0900000000000318,0.846346928,-0.635722600481481
"4773","50","104000","Jordon Lake","1990",1990-06-20,1990-09-06,78,905.62,905.12,-0.5,0.99593264,-0.685197569846261
"4774","52","104200","Kilby Lake","1974",1974-05-15,1974-08-23,100,96.7,96.49,-0.210000000000008,0.9628276,-0.891423302711751
"4779","53","104600","Lucerne Lake","1966",1966-06-07,1966-11-08,154,841.05,840.63,-0.419999999999959,0.79670872,-1.32883170566931
"4985","54","104700","Lake Sharon","1985",1985-05-15,1985-05-30,15,94.3,94.08,-0.219999999999999,0.151700984,-0.117686198630892
"4986","54","104700","Lake Sharon","1985",1985-05-30,1985-06-14,15,94.08,93.86,-0.219999999999999,0.033335952,-0.13754437970385
"4987","54","104700","Lake Sharon","1985",1985-06-14,1985-06-29,15,93.86,93.76,-0.0999999999999943,0.199628672,-0.148523424785018
"4988","54","104700","Lake Sharon","1985",1985-06-29,1985-07-15,16,93.76,93.6,-0.160000000000011,0.139415416,-0.137170697524777
"4989","54","104700","Lake Sharon","1985",1985-07-15,1985-07-30,15,93.6,93.58,-0.019999999999996,0.234338944,-0.179165774046165
"4990","54","104700","Lake Sharon","1985",1985-07-30,1985-08-14,15,93.58,93.52,-0.0600000000000023,0.14923508,-0.139123518814466
"4991","54","104700","Lake Sharon","1985",1985-08-14,1985-08-29,15,93.52,93.36,-0.159999999999997,0.221558424,-0.132048815932701
"4992","54","104700","Lake Sharon","1985",1985-08-29,1985-09-13,15,93.36,93.38,0.019999999999996,0.224400216,-0.0901915856587719
"4993","54","104700","Lake Sharon","1985",1985-09-13,1985-09-29,16,93.38,93.36,-0.019999999999996,0.167936,-0.149669941599487
"4994","54","104700","Lake Sharon","1985",1985-09-29,1985-10-14,15,93.36,93.36,0,0.155508736,-0.0509986612960349
"4995","54","104700","Lake Sharon","1985",1985-10-14,1985-10-29,15,93.36,93.36,0,0.099563744,-0.0383397471147523
"4996","54","104700","Lake Sharon","1985",1985-10-29,1985-11-15,17,93.36,93.64,0.280000000000001,0.311559328,-0.0542961004276891
"4997","54","104700","Lake Sharon","1986",1986-06-06,1986-06-21,15,93.89,93.95,0.0600000000000023,0.13119672,-0.123062407612785
"4998","54","104700","Lake Sharon","1986",1986-06-21,1986-07-06,15,93.95,93.99,0.039999999999992,0.292432336,-0.146783311177589
"4999","54","104700","Lake Sharon","1986",1986-07-06,1986-07-21,15,93.99,93.97,-0.019999999999996,0.201415944,-0.121757178931135
"5000","54","104700","Lake Sharon","1986",1986-07-21,1986-08-05,15,93.97,93.95,-0.019999999999996,0.245080616,-0.169936084439356
"5001","54","104700","Lake Sharon","1986",1986-08-05,1986-08-20,15,93.95,93.79,-0.159999999999997,0.074913232,-0.13073762636191
"5002","54","104700","Lake Sharon","1986",1986-08-20,1986-09-04,15,93.79,93.59,-0.200000000000003,0.0909544,-0.131023797146736
"5003","54","104700","Lake Sharon","1986",1986-09-04,1986-09-19,15,93.59,93.83,0.239999999999995,0.40566712,-0.114148908376686
"5004","54","104700","Lake Sharon","1986",1986-09-19,1986-10-04,15,93.83,94.67,0.840000000000003,0.44284428,-0.0530590295163418
"5005","54","104700","Lake Sharon","1987",1987-05-15,1987-05-30,15,94.37,94.23,-0.140000000000001,0.139645672,-0.129580038931279
