,WiscID,WBIC,LakeName,Year,Date1,Date2,DeltaDate,Stage1_mm,Stage2_mm,DeltaWaterLevel_mm,Precip_mm,Evap_mm
2332,3,8900,Forest Lake,1994,1994-06-29,7/20/94,21,2700.528,2700.528,0,121.2136614,-54.56406257
2333,3,8900,Forest Lake,1994,1994-07-20,8/17/94,28,2700.528,2712.72,12.192,88.46744653,-77.73510912
2334,3,8900,Forest Lake,1995,1995-06-13,7/12/95,29,2606.04,2468.88,-137.16,26.09141889,-92.62096842
2335,3,8900,Forest Lake,1995,1995-07-12,8/8/95,27,2468.88,2432.304,-36.576,81.68888229,-79.32946084
2336,3,8900,Forest Lake,1996,1996-06-26,7/23/96,27,2734.056,2746.248,12.192,86.23051933,-70.07255172
2337,3,8900,Forest Lake,1996,1996-07-23,8/21/96,29,2746.248,2673.096,-73.152,62.30914477,-89.99026085
2338,3,8900,Forest Lake,2005,2005-06-09,7/19/05,40,2657.856,2493.264,-164.592,68.68581193,-131.4843936
467,16,45100,Cedar Lake,1936,1936-08-14,9/5/36,22,1508.76,1569.72,60.96,NA,NA
468,16,45100,Cedar Lake,1936,1936-09-05,9/26/36,21,1569.72,1569.72,0,NA,NA
469,16,45100,Cedar Lake,1936,1936-09-26,10/17/36,21,1569.72,1554.48,-15.24,NA,NA
470,16,45100,Cedar Lake,1936,1936-10-17,11/14/36,28,1554.48,1569.72,15.24,NA,NA
471,16,45100,Cedar Lake,1937,1937-05-15,6/5/37,21,1914.144,1914.144,0,NA,NA
472,16,45100,Cedar Lake,1937,1937-06-05,6/26/37,21,1914.144,1914.144,0,NA,NA
473,16,45100,Cedar Lake,1937,1937-06-26,7/17/37,21,1914.144,1853.184,-60.96,NA,NA
474,16,45100,Cedar Lake,1937,1937-07-17,8/7/37,21,1853.184,1761.744,-91.44,NA,NA
475,16,45100,Cedar Lake,1937,1937-08-07,8/28/37,21,1761.744,1670.304,-91.44,NA,NA
476,16,45100,Cedar Lake,1937,1937-08-28,9/18/37,21,1670.304,1609.344,-60.96,NA,NA
477,16,45100,Cedar Lake,1937,1937-09-18,10/9/37,21,1609.344,1639.824,30.48,NA,NA
478,16,45100,Cedar Lake,1937,1937-10-09,10/30/37,21,1639.824,1639.824,0,NA,NA
479,16,45100,Cedar Lake,1938,1938-05-21,6/11/38,21,2011.68,1956.816,-54.864,NA,NA
480,16,45100,Cedar Lake,1938,1938-06-11,7/2/38,21,1956.816,1950.72,-6.096,NA,NA
481,16,45100,Cedar Lake,1938,1938-07-02,7/23/38,21,1950.72,1932.432,-18.288,NA,NA
482,16,45100,Cedar Lake,1938,1938-07-23,8/13/38,21,1932.432,1987.296,54.864,NA,NA
483,16,45100,Cedar Lake,1938,1938-08-13,9/3/38,21,1987.296,1859.28,-128.016,NA,NA
484,16,45100,Cedar Lake,1938,1938-09-03,9/24/38,21,1859.28,2023.872,164.592,NA,NA
485,16,45100,Cedar Lake,1938,1938-09-24,10/15/38,21,2023.872,2011.68,-12.192,NA,NA
486,16,45100,Cedar Lake,1938,1938-10-15,11/12/38,28,2011.68,1981.2,-30.48,NA,NA
487,16,45100,Cedar Lake,1939,1939-09-10,9/30/39,20,1871.472,1840.992,-30.48,NA,NA
488,16,45100,Cedar Lake,1939,1939-09-30,10/21/39,21,1840.992,1810.512,-30.48,NA,NA
489,16,45100,Cedar Lake,1939,1939-10-21,11/11/39,21,1810.512,1786.128,-24.384,NA,NA
490,16,45100,Cedar Lake,1940,1940-06-01,6/22/40,21,1871.472,1932.432,60.96,NA,NA
491,16,45100,Cedar Lake,1940,1940-06-22,7/13/40,21,1932.432,1914.144,-18.288,NA,NA
492,16,45100,Cedar Lake,1940,1940-07-13,8/3/40,21,1914.144,1871.472,-42.672,NA,NA
493,16,45100,Cedar Lake,1940,1940-08-03,8/24/40,21,1871.472,1944.624,73.152,NA,NA
494,16,45100,Cedar Lake,1940,1940-08-24,9/14/40,21,1944.624,1950.72,6.096,NA,NA
495,16,45100,Cedar Lake,1940,1940-09-14,10/5/40,21,1950.72,1889.76,-60.96,NA,NA
496,16,45100,Cedar Lake,1940,1940-10-05,10/26/40,21,1889.76,1871.472,-18.288,NA,NA
497,16,45100,Cedar Lake,1941,1941-05-17,6/7/41,21,2103.12,2048.256,-54.864,NA,NA
498,16,45100,Cedar Lake,1941,1941-06-07,6/28/41,21,2048.256,1981.2,-67.056,NA,NA
499,16,45100,Cedar Lake,1941,1941-06-28,7/19/41,21,1981.2,1950.72,-30.48,NA,NA
500,16,45100,Cedar Lake,1941,1941-07-19,8/9/41,21,1950.72,1889.76,-60.96,NA,NA
