WiscID,Name,County,MinYr,MaxYr,NumOb,NumYr,source,LakeType,WIBIC,lagoslakeid,lat,long
3,Forest Lake,Fond Du Lac,1994,2005,16,4,USGS,seepage,8900,4993,43.6088845,-88.1673186
4,Forest Lake,Fon du Lac,1967,1985,4,4,DNR Historical Data,seepage,8900,4993,43.60762834,-88.16719663
7,Haneman Lake,Ozaukee,1967,1981,2,2,DNR Historical Data,seepage,26400,43908,43.3642,-87.98659
11,Dickman Lake,Fon du Lac,1960,1974,3,3,DNR Historical Data,seepage,41900,12453,43.59070071,-88.22917196
13,Cedar Lake,Fon du Lac,1970,1984,4,4,DNR Historical Data,seepage,42800,94723,43.66049116,-88.19088962
15,Kettle Moraine Lake,Fon du Lac,1970,1984,6,6,DNR Historical Data,seepage,43900,4586,43.65326715,-88.2103188
16,Cedar Lake,Manitowoc,1928,1983,4839,48,DNR Historical Data,seepage,45100,4495,43.92490459,-87.93845927
17,Crystal Lake,Sheboygan,1970,1984,6,6,DNR Historical Data,seepage,45200,5114,43.80633513,-88.01742686
18,Weyers Lake,Marathon,1970,1981,3,3,DNR Historical Data,seepage,49400,5539,44.0407612,-87.73134195
20,Spring Lake,Manitowoc,1970,1981,3,3,DNR Historical Data,seepage,63700,4970,43.96897075,-87.89580737
21,Pigeon Lake,Manitowoc,1974,1981,4,4,DNR Historical Data,seepage,64000,5112,43.98689251,-87.87387125
23,Bullhead Lake,Manitowoc,1974,1981,2,2,DNR Historical Data,seepage,68300,5450,44.10334256,-88.03720851
24,Round Lake,Calumet,1974,1981,4,3,DNR Historical Data,seepage,68600,5094,44.1527975,-88.04911773
25,Schisel Lake,Manitowoc,1970,1981,4,4,DNR Historical Data,seepage,72800,4630,44.12145617,-87.81983138
26,Becker Lake,Calumet,1975,1981,2,2,DNR Historical Data,seepage,77300,4601,44.13089759,-88.04772566
27,Long Lake,Manitowoc,1974,1981,3,3,DNR Historical Data,seepage,77500,1078,44.13834421,-88.03791079
28,Boot Lake,Calumet,1973,1981,4,4,DNR Historical Data,seepage,77600,4426,44.14647208,-88.04505537
30,Lily Lake,Brown,1974,1981,2,2,DNR Historical Data,seepage,82900,4477,44.42601077,-87.85274858
34,Lake Europe,Door,1973,1981,4,4,DNR Historical Data,seepage,93100,4760,45.27262917,-86.98636507
36,West Alaska Lake,Kewaunee,1974,1980,4,3,DNR Historical Data,seepage,94300,5331,44.54064373,-87.50587775
38,Bean's Lake,Waushara,1973,2015,19,19,Waushara,seepage,101300,5193,44.13763197,-89.2906228
39,Bing Lake,Waushara,1978,1979,50,2,USGS,seepage,101600,105982,44.0569186,-89.4881776
40,Bughs Lake,Waushara,1973,1985,3,3,DNR Historical Data,seepage,102100,4366,44.06916056,-89.26226249
41,Bughs Lake,Waushara,1973,2015,26,23,Waushara,seepage,102100,4366,44.06916056,-89.26226249
42,Crooked Lake,Adams,1973,1989,12,10,DNR Historical Data,seepage,102600,4456,43.77049424,-89.60758008
43,Cuff Lake,Columbia,1997,1997,2,1,DNR Historical Data,seepage,102700,119420,43.60850066,-89.3032439
44,Deer Lake,Waushara,1993,2015,19,19,Waushara,seepage,102900,2512,44.04305832,-89.21679462
45,Twin Lakes,Marquette,2002,2004,7,2,USGS,seepage,103100,2173,43.90830818,-89.5854014
46,Fenners Lake,Adams,1974,1985,8,6,DNR Historical Data,seepage,103400,5438,43.86386597,-89.59829648
47,Goose Lake,Adams,1977,1987,11,6,DNR Historical Data,seepage,103600,1666,43.79776995,-89.63667192
