WBIC,WiscID,Name.x,County,lat,long,Type,mg_average,ca_average,unit
1884200,588,Street Lake,Vilas ,46.09599702,-89.70354479,seepage,0.375,0.65,mg
991000,398,Honeysuckle Lake,Vilas,45.9618971,-89.3620816,seepage,0.32,0.7,mg
2340100,694,Spruce Lake,Vilas,46.0532839,-89.5662573,seepage,0.23,0.73,mg
989200,396,Hemlock Lake,Oneida ,45.87658969,-89.65107952,seepage,0.25,0.8,mg
1003700,418,McDonald Lake,Vilas ,45.90561919,-89.39828044,seepage,0.263,0.808,mg
1863000,564,Loon Lake,Chippewa ,45.24740426,-91.46702096,seepage,0.44,0.82,mg
2761000,963,East Twin Lake,Bayfield ,46.68499869,-91.05755696,seepage,0.39,0.825,mg
2015500,592,"MAX LAKE NEAR WOODRUFF, WI",Vilas,46.0243949,-89.7098732,seepage,0.38,0.86,mg
976800,378,Chickaree Lake,Vilas ,45.90628476,-89.35819389,seepage,0.41,0.875,mg
2598300,836,Chain Lake,Douglas ,46.197113,-91.73720194,seepage,0.36,0.9,mg
1179000,448,Windowpane Lake,Oneida ,45.85059388,-89.79872376,seepage,0.28,0.933,mg
2017500,593,Crystal Bog,Vilas,46.007941,-89.606314,drainage,0.229,0.938,mg
1862100,562,Little Rock Lake,Vilas,45.99606187,-89.6993166,seepage,0.272100841,0.946777311,mg
1862100,1038,Little Rock Lake,Vilas,45.99606187,-89.6993166,seepage,0.272100841,0.946777311,mg
1842400,539,Crystal Lake,Vilas,45.999642,-89.610408,seepage,0.256,0.974,mg
1842400,540,Crystal Lake,Vilas ,46.00174574,-89.61301969,seepage,0.256,0.974,mg
2317900,675,Middle Sugarbush Lake,Vilas ,46.01806341,-89.91299196,seepage,0.33,0.98,mg
1023300,443,Trilby Lake,Vilas ,45.95676375,-89.69166814,seepage,0.25,1.002,mg
2734700,948,Lake Knotting,Bayfield ,46.27397611,-91.11554034,seepage,0.25,1.067,mg
2492900,810,Rock Lake,Douglas ,46.34313731,-91.6171267,seepage,0.5,1.09,mg
1522400,466,Swamp Lake,Oneida ,45.63741834,-89.78760856,drainage,0.5,1.1,mg
2501300,832,Thorn Lake,Douglas ,46.22503849,-91.65570396,seepage,0.375,1.145,mg
983300,389,Elna Lake,Oneida ,45.69317805,-89.56853735,seepage,0.349,1.182,mg
2452400,727,Beauregard Lake,Douglas ,46.34194718,-91.58978572,seepage,0.645,1.185,mg
1018900,436,Soo Lake,Oneida ,45.65354056,-89.54229,seepage,0.4265,1.186,mg
1007500,424,North Two Lakes,Oneida ,45.78557694,-89.60653812,seepage,0.274,1.189,mg
974700,377,Bullhead Lake,Oneida ,45.8843055,-89.71408273,seepage,0.3,1.19,mg
972000,375,Bird Lake,Oneida ,45.79775099,-89.6664863,seepage,0.288,1.226,mg
589400,248,Morgan Lake,Florence,45.7724593,-88.5462324,seepage,0.533,1.257,mg
589400,247,Morgan Lake,Florence,45.7724593,-88.5462324,seepage,0.533,1.257,mg
2757900,1030,Carlin Lake,Vilas,46.2,-89.77,seepage,0.33,1.26,mg
994400,402,Buteau Lake,Lincoln ,45.4394513,-89.47572802,seepage,0.35,1.273,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.325460785,1.27427451,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.316960785,1.27627451,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.316960785,1.27777451,mg
1176400,444,Vandercook Lake,Vilas,45.9857843,-89.6823713,seepage,0.352960785,1.31027451,mg
971600,374,Big Carr Lake,Oneida ,45.79092184,-89.62946191,seepage,0.282,1.338,mg
982500,388,Witches Lake,Vilas ,45.97856319,-89.59001876,seepage,0.375,1.375,mg
1009400,425,Paradise Lake,Oneida ,45.86146882,-89.43039738,seepage,0.5,1.4,mg
990700,397,Hodstradt Lake,Oneida ,45.80732083,-89.56353808,seepage,0.312,1.413,mg
981500,386,Duck Lake,Langlade ,45.38072111,-89.24739846,seepage,0.492,1.426,mg
981500,387,Duck Lake - Staff Gage,Langlade ,45.384106,-89.24992,seepage,0.492,1.426,mg
1023100,442,Townline Lake,Oneida ,45.64632587,-89.46348516,seepage,0.292,1.458,mg
2771200,976,Phantom Lake - Staff Gage,Bayfield ,46.493885,-91.29628,seepage,0.49,1.46,mg
2451700,724,Bass Lake,Douglas ,46.21575421,-91.8541031,seepage,0.54,1.485,mg
396700,195,Devils Lake,Forest,45.549964,-88.8334458,drainage,0.48,1.5,mg
389700,190,Little Sand Lake,Forest ,45.46998052,-88.91916868,drainage,0.66,1.515,mg
389700,189,Little Sand Lake,Forest,45.4632974,-88.919557,drainage,0.66,1.515,mg
2321800,677,Ike Walton Lake,Vilas ,46.03594392,-89.80624497,drainage,0.256,1.524,mg
1863200,565,Loon Lake,Washburn ,45.6862596,-91.61545963,seepage,0.68,1.54,mg
984800,392,Finley Lake,Vilas ,45.91046069,-89.4182174,seepage,0.573,1.569,mg
1015500,434,South Two Lakes,Oneida ,45.7767029,-89.61366941,seepage,0.262,1.57,mg
1004600,419,Mildred Lake,Oneida ,45.67551707,-89.53088879,seepage,0.312,1.575,mg
1001000,416,Long Lake,Lincoln ,45.4298374,-89.47729304,seepage,0.25,1.6,mg
2503500,834,Two Mile Lake,Douglas ,46.21568986,-91.80408832,seepage,0.6,1.61,mg
2766200,969,Lac du Lune,Vilas ,46.12934198,-89.38514885,seepage,0.257,1.647,mg
969600,373,Bass Lake,Lincoln,45.4235707,-89.4901266,seepage,0.375,1.65,mg
1010100,427,Pence Lake,Langlade ,45.30806392,-89.06180816,seepage,0.333,1.667,mg
2462400,747,East Twin Lake,Douglas ,46.35216282,-91.73292528,seepage,0.93,1.68,mg
585400,1032,Dewey Lake,Vilas,45.99,-89.03,seepage,0.5,1.7,mg
1000900,415,Long Lake,Langlade ,45.29851931,-89.20491337,seepage,0.6,1.725,mg
2470900,768,Island Lake,Douglas ,46.35360293,-91.76792849,seepage,0.62,1.73,mg
1020600,440,Sunday Lake,Oneida ,45.88887204,-89.854244,seepage,0.615,1.78,mg
