WBIC,dnr_field,dnr_lab,edi,usgs_lab,final_value,datasource,unit
20,NA,NA,NA,331.56,331.56,usgs,us/cm
NA,NA,NA,NA,NA,NA,NA,us/cm
8900,234,233.1111111,198,238.75,233.1111111,dnr_lab,us/cm
25100,455.6666667,452.3571429,318,506.83,452.3571429,dnr_lab,us/cm
25300,476.4951898,497.8089888,310,531.1,497.8089888,dnr_lab,us/cm
26400,NA,NA,536,NA,536,edi,us/cm
28600,NA,NA,366,NA,366,edi,us/cm
36200,NA,488.9090909,355,524.8,488.9090909,dnr_lab,us/cm
37900,373.3714286,404,365,NA,404,dnr_lab,us/cm
41900,NA,NA,463,NA,463,edi,us/cm
42400,477.1818182,446,567,NA,446,dnr_lab,us/cm
42800,NA,NA,263,NA,263,edi,us/cm
43700,453.8,440,340,440,440,dnr_lab,us/cm
43900,NA,NA,216,NA,216,edi,us/cm
45100,295,295.3684211,230,NA,295.3684211,dnr_lab,us/cm
45200,362.7454013,376.5106383,302,NA,376.5106383,dnr_lab,us/cm
49400,NA,364.9,250,NA,364.9,dnr_lab,us/cm
60800,543.9444444,521.2222222,523,538.25,521.2222222,dnr_lab,us/cm
63700,460.3333333,494,398,NA,494,dnr_lab,us/cm
64000,363.5,414.16,315,NA,414.16,dnr_lab,us/cm
67400,421.6719556,482.9411765,366,NA,482.9411765,dnr_lab,us/cm
68300,NA,384,221,NA,384,dnr_lab,us/cm
68600,464.7777778,417.4444444,435,NA,417.4444444,dnr_lab,us/cm
72800,NA,573.25,413,NA,573.25,dnr_lab,us/cm
77300,439.2641509,364.4166667,350,NA,364.4166667,dnr_lab,us/cm
77500,377.6162797,365.36,262,NA,365.36,dnr_lab,us/cm
77600,392.2,418.1111111,267,NA,418.1111111,dnr_lab,us/cm
81200,NA,630.5,NA,NA,630.5,dnr_lab,us/cm
82900,341.1,340.1666667,340,NA,340.1666667,dnr_lab,us/cm
85200,NA,363.6666667,303,NA,363.6666667,dnr_lab,us/cm
85300,NA,NA,368,NA,368,edi,us/cm
85400,364.625,361.6666667,381,NA,361.6666667,dnr_lab,us/cm
93100,294.2222222,317.9615385,277,NA,317.9615385,dnr_lab,us/cm
94200,565.6470045,487,471,NA,487,dnr_lab,us/cm
94300,542.5,NA,490,NA,542.5,dnr_field,us/cm
94700,555.5510204,437.6,584,NA,437.6,dnr_lab,us/cm
101300,303.8487654,275.6666667,197,NA,275.6666667,dnr_lab,us/cm
101600,NA,NA,158,NA,158,edi,us/cm
102100,180.3625,182,223,NA,182,dnr_lab,us/cm
102600,0.280432927,322.6666667,307,NA,322.6666667,dnr_lab,us/cm
102700,NA,NA,NA,NA,NA,NA,us/cm
102900,269.6121212,238.6,191,NA,238.6,dnr_lab,us/cm
103100,NA,NA,228,NA,228,edi,us/cm
103400,0.175807229,196,195,NA,196,dnr_lab,us/cm
103600,2.366242857,177.75,129,NA,177.75,dnr_lab,us/cm
103900,247.7081081,217.2661905,212,NA,217.2661905,dnr_lab,us/cm
104000,0.16821978,226,207,NA,226,dnr_lab,us/cm
104200,NA,NA,190,NA,190,edi,us/cm
104600,265.1007246,250.6666667,230,NA,250.6666667,dnr_lab,us/cm
104700,NA,154.0666667,169,NA,154.0666667,dnr_lab,us/cm
105200,279.2302083,246.8571429,241,NA,246.8571429,dnr_lab,us/cm
105800,325.6465909,327.6111111,192,NA,327.6111111,dnr_lab,us/cm
106500,2.326545455,299.25,303,NA,299.25,dnr_lab,us/cm
106600,9.228148936,NA,260,NA,9.228148936,dnr_field,us/cm
106900,288.0139442,294.8666667,212,NA,294.8666667,dnr_lab,us/cm
107500,NA,NA,163,NA,163,edi,us/cm
107600,NA,NA,NA,NA,NA,NA,us/cm
107700,NA,306.125,333,NA,306.125,dnr_lab,us/cm
107900,297.8308571,271.2857143,230,NA,271.2857143,dnr_lab,us/cm
108200,NA,133.2555556,159,NA,133.2555556,dnr_lab,us/cm
117000,NA,311,337,311,311,dnr_lab,us/cm
117400,175.8188679,172.6666667,167,NA,172.6666667,dnr_lab,us/cm
117500,0.18070922,232,198,NA,232,dnr_lab,us/cm
117600,NA,224.125,179,NA,224.125,dnr_lab,us/cm
117800,NA,NA,552,NA,552,edi,us/cm
131100,233.1674976,364.6594203,335,388,364.6594203,dnr_lab,us/cm
139300,NA,NA,478,NA,478,edi,us/cm
146100,52.15064759,476.0454545,415,498.33,476.0454545,dnr_lab,us/cm
149000,459.8301887,436.2424242,317,NA,436.2424242,dnr_lab,us/cm
155570,NA,NA,258,NA,258,edi,us/cm
156300,315.2315436,281.7142857,184,NA,281.7142857,dnr_lab,us/cm
157300,NA,256.6428571,195,NA,256.6428571,dnr_lab,us/cm
158600,NA,NA,NA,NA,NA,NA,us/cm
158700,355.6641026,354.125,287,NA,354.125,dnr_lab,us/cm
160600,NA,NA,531,NA,531,edi,us/cm
161900,NA,NA,327,NA,327,edi,us/cm
162500,344.783301,348.9090909,242,345.94,348.9090909,dnr_lab,us/cm
163970,NA,202.3,179,NA,202.3,dnr_lab,us/cm
164300,312.7333333,297.3333333,NA,309.6,297.3333333,dnr_lab,us/cm
168000,380.8038462,359.75,NA,368.25,359.75,dnr_lab,us/cm
171000,NA,385.2857143,339,NA,385.2857143,dnr_lab,us/cm
179800,479.5686275,439.9411765,454,399,439.9411765,dnr_lab,us/cm
180300,490.9107143,430.8,NA,431.5,430.8,dnr_lab,us/cm
181400,68,74.56521739,78,NA,74.56521739,dnr_lab,us/cm
181700,18.41451613,17.98333333,28,NA,17.98333333,dnr_lab,us/cm
181800,NA,109,84,86.58,109,dnr_lab,us/cm
