FID,CSI_EDU,Lat,Lon,Country,ZoneID,Pct_In_NWI,Ha,Ha_In_NWI,Pct_In_USA,Ha_In_USA
0,Alleghany Mountain Tributaries,40.094953012900000,-79.451340646299997,US,EDU_1,88.331864776499998,1326715.093630000000000,1171912.182470000100000,100.000000000000000,1326715.093630000000000
1,Bayfield Peninsula and Uplands,46.526552357000000,-91.217831492299993,US,EDU_2,100.000000000000000,836453.159542000040000,836453.159161000050000,100.000000000000000,836453.159542000040000
2,Big Fork-Little Fork-Vermillion,47.934486212499998,-93.274194572100001,US,EDU_3,100.000000000000000,1285724.047960000100000,1285724.047960000100000,100.000000000000000,1285724.047960000100000
3,Big Sioux/Little Sioux,43.037883451299997,-96.050345407500004,US,EDU_4,74.421436498099993,3149571.109800000200000,2343956.063449999800000,100.000000000000000,3149571.109800000200000
4,Blackwater/Lamine,39.024875047000002,-93.701849762099997,US,EDU_5,97.039027282700005,1387005.827120000000000,1345936.963000000000000,100.000000000000000,1387005.827120000000000
5,Cache River Lowlands,37.280512233099998,-89.195797355099998,US,EDU_6,100.000000000000000,94631.762782299993000,94631.762782299993000,100.000000000000000,94631.762782299993000
6,Cape Cod,41.737093522099997,-70.601165970099999,US,EDU_7,100.000000000000000,311833.597805000030000,311833.597803000010000,100.000000000000000,311833.597805000030000
7,Castor River/Saint Francis,37.383238232300002,-90.254779831899995,US,EDU_8,100.000000000000000,645003.956448000040000,645003.956448000040000,100.000000000000000,645003.956448000040000
8,Central Upper Peninsula,46.116649715999998,-87.979852542000003,US,EDU_9,100.000000000000000,2154398.867459999900000,2149077.753740000100000,100.000000000000000,2154398.867459999900000
9,Chippewa -Black River,45.244305104900000,-91.016711071800003,US,EDU_10,100.000000000000000,3059755.571949999800000,3059755.571949999800000,100.000000000000000,3059755.571949999800000
10,Coastal Plain-Tennessee,36.007401095600002,-89.669251406699999,US,EDU_11,14.686335885800000,284215.896039000010000,41740.901132200001000,100.000000000000000,284215.896039000010000
11,Delaware Bay Coastal,39.595325335100000,-74.681603012099998,US,EDU_12,99.701910658200006,977397.725392999940000,974484.206947000000000,99.999999999699995,977397.725390000040000
12,Driftless,43.841445301800000,-91.605847140099996,US,EDU_13,100.000000000000000,3805731.963169999900000,3805731.963169999900000,100.000000000000000,3805731.963169999900000
13,East Central Wisconsin,44.610762793600003,-88.703932080000001,US,EDU_14,100.000000000000000,2351636.866090000100000,2351636.866080000100000,100.000000000000000,2351636.866090000100000
14,East Lake Erie,42.569466728099997,-79.016967235999999,US_CA,EDU_15,99.995395677199994,759272.893006999980000,759237.933418000000000,100.000000000000000,759272.893006999980000
15,Eastern Tributaries and Mainstem of the Red River,47.747675648600001,-96.101780104900001,US_CA,EDU_16,89.644907316100003,4696503.018070000200000,4210175.655639999500000,100.000000000000000,4696503.018070000200000
16,Eastern Upper Peninsula,46.271564620100001,-85.639200705199997,US_CA,EDU_17,99.994182566500001,1601520.947170000100000,1592826.984900000000000,100.000000000000000,1601520.947170000100000
17,Gasconade,37.674353816100002,-92.153439825199996,US,EDU_18,100.000000000000000,926177.327077000050000,926177.327077000050000,100.000000000000000,926177.327077000050000
18,Glaciated Ohio River Tributaries,40.347807567899999,-81.303856837400005,US,EDU_19,90.790650636199999,4588514.741820000100000,4165942.388629999900000,100.000000000000000,4588514.741820000100000
19,Grand/Chariton,40.206230793600000,-93.518781969900004,US,EDU_20,100.000000000000000,2838225.719570000200000,2838225.719570000200000,100.000000000000000,2838225.719570000200000
