FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC8,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
0,{4B4E7FCA-85FA-43FC-9258-EF0B28E9A839},0.000000000000000,523958.000000000000000,2120.427828540000100,AR,11010009,Lower Black,212042.782936000000000,13.951858652700000,29583.909351099999000,36.148431286300003,-91.129423926800001,HU8_505
1,{36C2B219-7A57-403F-A725-02EBEC616FDD},0.000000000000000,777606.000000000000000,3146.928943689999900,AR,11010010,Spring,314692.894436999980000,39.471708342800000,124214.661445000010000,36.454481165600001,-91.586147408800002,HU8_506
2,{F2B304EA-8CC1-4364-BC9F-6439ACC4711A},0.000000000000000,2290580.000000000000000,9269.849981249999500,"AR,MO",08020203,Lower St. Francis,926984.999220000000000,15.487086435600000,143562.967991000010000,35.706997409200000,-90.359377649199999,HU8_447
3,{80F3CD3C-51D8-402A-A05A-1A282750174D},0.000000000000000,1667369.000000000000000,6747.751327259999900,"AR,MO",08020204,Little River Ditches,674775.131642999940000,81.361551027999994,549007.513158999970000,36.443250789099999,-89.900299439999998,HU8_448
4,{D9A00049-49CD-4E47-990D-2F169E833C5F},0.000000000000000,1634944.000000000000000,6616.527795410000200,AR,11010001,Beaver Reservoir,661652.779516999960000,14.981170315000000,99123.329795199999000,36.218045183800001,-93.699948237699999,HU8_507
5,{85A2D51A-14CA-4F24-99BF-AD60145B9FAF},0.000000000000000,1668150.000000000000000,6750.909757360000200,"AR,MO",11010003,Bull Shoals Lake,675090.975732999970000,57.807190717799998,390251.127868000010000,36.562060205100003,-92.883285811799993,HU8_508
6,{1094D3D8-4AAF-4C0D-BA15-10E6672F866C},0.000000000000000,1172102.000000000000000,4743.431246109999800,"AR,MO",11010006,North Fork White,474343.124604000010000,75.880029144900007,359931.701196999990000,36.711183564199999,-92.249504075199994,HU8_489
7,{2072F459-DF0D-4E58-9A4F-48584454D2D0},0.000000000000000,1231702.000000000000000,4984.627682330000400,"AR,MO",11010007,Upper Black,498462.768241000010000,90.518360918200003,451200.327578999980000,37.061667140099999,-90.737663828199999,HU8_449
8,{FDCA1239-8467-4FFF-BFEA-D886F29B9453},0.000000000000000,769659.000000000000000,3114.769050850000000,"AR,MO",11010011,Eleven Point,311476.905043000010000,85.257448667700004,265557.262469000010000,36.732031139900002,-91.435255038099996,HU8_509
9,{585976A1-0923-4EC1-B2DF-FF50B221608B},0.000000000000000,581988.000000000000000,2355.272136200000200,"AR,MO,OK,KS",11070206,Lake O' The Cherokees,235527.213897999990000,12.434901435700001,29287.576888200001000,36.740330886599999,-94.816437393800001,HU8_511
10,{533C6543-6EF9-48C4-ADDA-AEDAB8712A7F},0.000000000000000,702297.000000000000000,2842.158961420000200,"AR,TN,KY",08010100,Lower Mississippi-Memphis,284215.896723999990000,14.686335883300000,41740.901166299998000,36.007401094099997,-89.669251407499999,HU8_320
11,{D4E96931-8FD5-4C44-AF23-C2A3C558A773},0.000000000000000,1029496.000000000000000,4166.312497930000100,CN,01010009,Little River-Saint John River,46271.939202000001000,99.992110945099995,46268.288045200003000,47.172776510399999,-68.037225213100001,HU8_602
12,{AAB3BA4E-77CF-4233-B100-94B3DBE345AE},0.000000000000000,899394.000000000000000,3639.799415940000000,CN,01010011,Keswick River-Saint John River,4669.949731429999700,99.936789338899999,4666.997814200000000,46.002299057599998,-67.805927201599999,HU8_25
13,{ABD31335-4D4A-48E6-8491-E2D76D1E16BD},0.000000000000000,1015510.000000000000000,4109.711188979999900,"CN,ME",01030001,Upper Kennebec,410887.958646000010000,99.976406251800000,410791.014781999980000,45.601840894900000,-69.956218758899993,HU8_10
14,{729F5BD0-7420-4F4A-BF8B-17AA64882197},0.000000000000000,631045.000000000000000,2553.805754590000100,"CN,NY,VT",04150409,Richelieu River,3611.893959330000100,99.447050090399998,3591.919411450000100,44.995891529300003,-73.395021685200007,HU8_263
15,{CD67B33C-59A6-43FA-910D-AF8B2B043E6C},0.000000000000000,388305.000000000000000,1571.449804880000100,CT,01080207,Farmington,157144.980495000000000,100.000000000000000,157144.980505000010000,41.944704973500002,-72.964364954800004,HU8_41
