wiscwaterlevelid,Huc08_Dist,Huc10_Dist,Huc12_Dist
1,6732.15,1241.25,1241.25
2,3898.15,726.91,726.91
3,1695.97,1695.97,1695.97
4,2957.93,2957.93,478.08
5,905.75,905.75,847.5
6,720.24,720.24,720.24
7,1990.93,1990.93,573.13
8,387.11,387.11,387.11
9,3031.4,999.63,999.63
10,2598.39,617.61,617.61
11,1287.84,1287.84,1287.84
12,7305.9,2545.67,490.74
13,545.1,7.28,7.28
14,16186.08,2745.44,2745.44
15,3292.63,578.51,578.51
16,9699.41,4451.38,848.41
17,6282.42,6282.42,660.14
18,7149.33,6820.15,715.26
19,14840.21,930.89,930.89
20,2879.85,2879.85,2879.85
21,1276.34,1276.34,1276.34
22,11407.26,3812.19,880.03
23,1424.22,1424.22,789.36
24,8181.61,5671.18,1691.56
25,7789.83,6510.38,1101.93
26,13933.86,1372.15,344.41
27,5085.41,5085.41,1401.93
28,13382.52,2638.86,2423.4
29,7855.83,5937.88,1334.16
30,5184.07,5184.07,1524.73
31,1956.22,1956.22,1956.22
32,2445.98,2445.98,2343.06
33,4688.32,4688.32,3646.42
34,1031.27,1031.27,1031.27
35,431.97,431.97,431.97
36,2962.2,2962.2,2962.2
37,5609.97,5609.97,612.31
38,5546.98,869.19,869.19
39,7905.72,6179.96,1271.29
40,2232.86,2232.86,2232.86
41,5772.78,3393.57,2183.94
42,816.66,816.66,816.66
43,11270.55,1929.72,1929.72
44,10451.7,10.89,10.89
45,6911.9,1167.17,1167.17
46,8093.68,2461.93,2461.93
47,12745.8,4161.88,303.28
48,1899.26,925.75,925.75
49,1712.3,1712.3,1083.92
50,1219.1,1219.1,1219.1
51,4501.86,4498.32,4498.32
52,4396.6,4396.6,4396.6
53,14307.82,406.64,406.64
54,569.04,569.04,569.04
55,1664.9,1664.9,75.93
56,8896.29,8767.04,15.99
57,8201.44,54.82,54.82
58,4678.85,3964.17,2177.92
59,1279.36,1279.36,49.77
60,5318.16,2419.38,2419.38
61,4869.38,4869.38,3877.11
62,16655.72,2008.12,2008.12
63,11123.61,1143.19,986.46
64,5033.77,4063.2,2361.8
65,149.2,149.2,149.2
66,1789.3,1789.3,1711.11
67,7464.26,724.43,724.43
68,15790.52,609.43,609.43
69,453.12,453.12,440.14
70,8171.41,6054.5,1473.54
71,5672.49,5672.49,1654.04
72,502.89,502.89,502.89
73,2067.39,2067.39,2067.39
74,6057.83,902.59,902.59
75,20124.77,1193.78,650.65
76,8572.84,4772.76,64.01
77,5293.51,1880.01,1880.01
78,8049.01,3217.43,257.42
79,8049.01,3217.43,257.42
80,8049.01,3217.43,257.42
81,3589.24,2380.98,1707.58
82,15661.41,393.27,393.27
83,4210.81,4210.81,1009.68
84,1806.94,1806.94,1806.94
85,2328.45,2328.45,2328.45
86,1304.39,1304.39,1304.39
87,1317.51,1317.51,1317.51
88,1715.66,1715.66,1715.66
89,1727.9,1727.9,1727.9
90,1951.69,1951.69,1951.69
91,1978.43,1978.43,1978.43
92,1845.53,1845.53,1845.53
93,1250.85,1250.85,1250.85
94,1968.86,1968.86,1968.86
95,1310.02,1310.02,1310.02
96,1312.41,1312.41,1312.41
97,1368.54,1368.54,1368.54
98,1342.83,1342.83,1342.83
99,1723.19,1723.19,1723.19
100,1958.65,1958.65,1958.65
101,2435.79,2435.79,2435.79
102,1962.13,1962.13,1962.13
103,1652.8,1652.8,1652.8
104,1119.23,1119.23,1119.23
105,1915.07,1915.07,1915.07
106,2304.46,2304.46,2304.46
107,2092.08,2092.08,2092.08
108,4599.08,251.88,251.88
109,2758.14,1276.96,1276.96
110,6101.69,4541.73,39.8
111,2390.66,2390.66,1433.94
112,3322.07,3322.07,998.79
113,6290.81,2347.97,2347.97
114,3663.49,92.98,92.98
115,5381.88,5381.88,4939.13
116,1926.12,1926.12,1926.12
117,4811.69,4811.69,1393.5
118,12387.25,699.09,699.09
119,10388.06,5864.69,536.16
120,8246.37,7793.66,2041.13
121,16941.51,474.56,474.56
122,21539.48,2943.75,67.7
123,22180.28,2023.08,2023.08
124,16924.48,2702.36,2492.38
125,25822.71,2680.59,541.94
126,14844.43,1666.45,1666.45
127,7658.73,2243.04,1408.91
128,4932.22,4569.24,2830.24
129,736.32,736.32,736.32
130,11974.54,1159.68,931.01
131,4823.95,4823.95,81.32
132,6073.46,5820.95,654.58
133,9880.09,1112.58,1112.58
134,18569.27,1571.89,1571.89
135,2763.84,521.9,521.9
136,109.96,109.96,109.96
137,28293.72,3239.51,923.5
138,8520.63,737.09,737.09
139,2327.74,1283.16,1283.16
140,8648.02,6033.18,500.96
141,5292.88,684.33,684.33
142,8866.95,4342.88,548.17
143,5336.98,693.1,693.1
144,5407.1,4760.17,1992.69
145,5227.96,1862.45,1862.45
146,10975.11,3340.62,3340.62
147,10613.89,10.06,10.06
148,10613.89,10.06,10.06
149,16567.49,681.51,681.51
150,10384.42,8610.18,121.35
151,12272.98,879.81,879.81
152,25023.28,2028.03,668.2
153,8386.78,8386.78,20.9
154,9295.47,9295.47,211.91
155,8259.51,8259.51,608.9
156,5701.2,5701.2,1127.55
157,3943.48,3943.48,1578.41
158,7823.53,2882.54,1067.88
159,20231.97,3944.52,950.95
160,22938.74,1963.61,1963.61
161,21988.52,106.99,106.99
162,33289.09,2980.64,990.92
163,2508.81,2508.81,953.03
164,4345.54,1137.1,878.58
165,43.34,43.34,43.34
166,8794.7,3477.98,1035.33
167,5419.45,2773.24,1532.05
