"wiscwaterlevelid","SiteID","clusterid_dtw1_3","clusterid_dtw1_4","clusterid_dtw2_4","SiteType","Latitude","Longitude"
1,"1000800","3","2","4","Lake",44.2069057,-89.45531352
2,"1012000","2","4","3","Lake",44.13008866,-89.50988124
3,"101300","3","4","3","Lake",44.13763197,-89.2906228
4,"102100.4","2","4","3","Lake",44.06916056,-89.26226249
5,"102900","3","4","3","Lake",44.04305832,-89.21679462
6,"103900.4","2","4","3","Lake",44.06590828,-89.23238535
7,"104600","3","4","4","Lake",44.02402792,-89.20872596
8,"105200","1","4","3","Lake",44.04569543,-89.21047952
9,"105800.4","3","2","4","Lake",44.10928491,-89.38854788
10,"106900.4","3","4","3","Lake",43.98497303,-89.55201905
11,"107900","1","4","3","Lake",44.05476309,-89.23386028
12,"117400.4","2","4","3","Lake",44.03343979,-89.3041395
13,"131100","2","4","3","Lake",44.00970626,-88.5273365
14,"146100","2","1","1","Lake",43.79888889,-89.0347222
15,"149000","1","4","2","Lake",44.01115491,-89.16072991
16,"156300","2","4","3","Lake",44.00374604,-89.4289594
17,"1631900","3","4","3","Lake",46.1216185,-89.1520804
18,"182100.4","2","4","3","Lake",44.1516018,-89.16386665
19,"182300.4","1","4","2","Lake",44.23591107,-89.14031928
20,"1835300.2","3","2","4","Lake",46.008472,-89.629379
21,"1842400.2","3","2","4","Lake",45.999642,-89.610408
22,"186400.4","2","4","3","Lake",44.21267758,-89.16930289
23,"1881900","1","3","2","Lake",46.006239,-89.695876
24,"189600","2","4","3","Lake",44.17085723,-89.164774
25,"190200.4","2","4","3","Lake",44.14761258,-89.1524778
26,"191100.4","3","4","4","Lake",44.21630946,-89.12494537
27,"195400","1","4","3","Lake",44.08860619,-89.11802775
28,"196100.4","1","4","3","Lake",44.23275643,-89.16245575
29,"197300.4","2","4","3","Lake",44.16246304,-89.16177896
30,"2014700","1","3","2","Lake",46.040778,-89.685547
31,"2017500","3","2","4","Lake",46.007941,-89.606314
32,"2331600.2","1","4","2","Lake",46.012891,-89.671613
33,"2332400","1","1","2","Lake",46.033973,-89.630228
34,"245800","2","4","3","Lake",44.08033239,-89.21079644
35,"246900","1","4","2","Lake",44.09625569,-89.22236325
36,"247200","2","4","3","Lake",44.14268002,-89.2169887
37,"247700","2","4","3","Lake",44.16952978,-89.21019065
38,"2496300","3","2","4","Lake",45.74605938,-91.9168423
39,"250000.4","2","4","3","Lake",44.17482414,-89.17396074
40,"758300","2","1","1","Lake",42.5580723,-88.5426
41,"761700","2","1","1","Lake",42.81334964,-88.1420325
42,"778300.1","2","1","1","Lake",43.0475,-88.4797222
43,"802600","2","1","1","Lake",42.95416667,-89.2797222
44,"803700","2","1","1","Lake",43.00888889,-89.3052778
45,"804600","2","1","1","Lake",43.0633297,-89.3970636
46,"805400","2","1","1","Lake",43.09832875,-89.4078969
47,"808700","2","1","1","Lake",42.85750645,-88.9409429
48,"968800.1","3","2","4","Lake",45.95013889,-89.05425
49,"980900.1","2","1","3","Lake",43.42638889,-89.7277778
50,"985000","3","2","4","Lake",44.1188627,-89.477621
51,"994900","3","2","4","Lake",44.19563889,-89.4174722
52,"994900.4","3","2","4","Lake",44.19343292,-89.41796271
53,"AD-17/06E/08-0076","2","1","1","Well",43.9667,-89.81727
54,"AS-43/02W/21-0054","1","3","2","Well",46.18579,-90.62518
55,"BN-25/20E/14-0890","2","1","1","Well",44.64249,-88.03844
56,"BR-34/10W/22-0153","1","3","2","Well",45.40829,-91.59239
57,"BT-39/16W/17-0002","1","3","2","Well",45.87379,-92.36564
58,"CH-28/07W/17-0142","3","2","4","Well",44.91079,-91.26599
59,"CO-12/09E/27-0620","2","1","1","Well",43.48915,-89.41651
