wiscwaterlevelid	DTW1_2_ClusterID
1	2
2	2
3	2
4	1
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	1
13	1
14	1
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	1
34	2
35	2
36	2
37	1
38	2
39	2
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	2
49	1
50	2
51	2
52	2
53	1
54	2
55	1
56	2
57	2
58	2
59	1
60	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	2
71	1
72	2
73	2
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
87	2
107	1
108	2
109	2
110	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	2
122	2
123	2
124	2
125	2
126	2
127	2
128	2
129	2
130	1
131	2
132	2
133	2
134	1
135	1
136	2
137	2
138	2
139	1
140	1
141	2
142	1
143	2
144	2
145	1
146	1
147	1
148	1
149	2
150	1
151	2
152	2
158	1
159	1
160	2
161	2
162	2
163	2
164	2
165	1
166	1
167	1
