WBIC,SHAPE_AREA,SHAPE_LEN,lat,long,Area,WatershedA,MaxDepth,MeanDepth,W_AREA,W_LAT,W_PERM,W_SLOPE,W_DARCY,W_BD_203,W_QG_1,W_PRCP_ANN,W_TEMP_ANN,W_TEMP_GS,W_TEMP_JUL,TRW_AREA,W_LU06_11,W_LU06_21,W_LU06_22,W_LU06_41,W_LU06_42,W_LU06_43,W_LU06_52,W_LU06_71,W_LU06_81,W_LU06_82,W_LU06_90,W_LU06_95,R_AREA,R_PERM,R_SLOPE,R_DARCY,R_LU06_11,R_LU06_21,R_LU06_41,R_LU06_43,R_LU06_90,w_develop,w_forest,w_ag,w_wetland,r_develop,r_forest,r_wetland,cond,mg_average,ca_average,lake_MEAN,watershed_MIN,elevation_difference,LakeName,US_L3NAME,ECO_LANDSC,HUC12_CODE,slope2,slope3,slope4,slope5,slopenearest,SDI,area_depth_ratio
77600,42523.4691766,1017.88825927,44.14647208,-88.04505537,11,127,16,8,0.5142,44.14,82,1.759,-15.6,0,100,782.399999999999,7.53,15.42,21.5,0.51,8.01,5.52,5.06,0.78,0,0,0,2.45,41.27,28.8,8.10999999999999,0,0.0684,82,0.707,117,7.46,0,0,0,15.21,10.579999999999998,0.78,70.07000000000001,8.10999999999999,4.3899999,0,15.21,418.1111111,NA,NA,255.797988892,255.715393066,8.21873474100002,Boot Lake,Southeastern Wisconsin Till Plains,Central Lake Michigan Coastal,040301010302,0.0082816788172118,0.00506048853000518,0.00252861076870604,0.00506048853000518,0.0082816788172118,1.3924539098656832,8719.543384309383
779300,262399.662568999,2130.73537595,42.95497772,-88.49890784,65,130,35,NA,0.5245,42.96,859.799999999999,1.17,4.2,0.95,100,848.399999999999,8.10999999999999,15.94,21.9499999999999,0.52,47.57,4.92,7.23,10.2799999999999,0,0.86,0,0,0.36,0,21.96,6.83,0.1327,909,2.299,-20.4,10.1000004,5.0500002,7.3800001,0,46.6500015,12.15,11.1399999999999,0.36,28.79,24.640000399999998,7.3800001,57.880001,392,NA,NA,262.798556482,262.267822266,6.367153967000036,Pretty Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,070900020305,0.0011572656689786,4.91991721863261e-4,0.00106646098447033,4.91991721863261e-4,0.0011572656689786,1.1733915280768517,24596.893754124387
1859400,170008.776852,2284.00938382,45.6221921499999,-90.4867348399999,42,133,37,17,0.5369,45.6199999999999,431,3.45,-91.7999999999999,100,0,802,4.58,12.93,18.9899999999999,0.54,33,2.96,0.65,12.5399999999999,1.68,11.4,0,0,1.42,6.11,30.25,0,0.1296,431,5.3629999,6.7,16.2000008,3.4000001,6.48,11.8100004,53.3199997,3.61,25.619999999999898,7.53,30.25,4.71,25.0000004,53.3199997,18,NA,NA,455.051672403,454.520507813,26.776391562000015,Ten Lake,Northern Lakes and Forests,North Central Forest,070500030108,0.00321350393304443,0.00190394781737754,0.00210757907458615,0.00190394781737754,0.00321350393304443,1.5626340393998908,15074.907502660139
2493900,134593.156289,1324.43489036,46.2282750899999,-91.936299,33,136,76,28,0.5516,46.2299999999999,1032,3.222,-1293.59999999999,81.5799999999999,0,798.399999999999,4.88,13.51,19.9699999999999,0.55,24.3299999999999,3.5,2.63,40.1899999999999,8.76,18.75,0.2,0,0,0,1.65,0,0.087,1032,10.3079996,-1643.2,20.6900005,0,31.9500008,25.3999996,0,6.13,67.6999999999999,0,1.65,2.99,76.31999970000001,0,25,0.567830508,2.126190476,314.598493478,314.501220703,19.010667898999998,Round Lake,Northern Lakes and Forests,Northwest Sands,070300010204,0.0015239214795481,0.00362023942010076,0.00225957298133576,0.00362023942010076,0.0015239214795481,1.0183901549816892,5810.24469406168
1002600,146330.178074,2112.05734307,45.9026243699999,-89.8398036199999,36,139,23,NA,0.564,45.8999999999999,1032,2.664,-140.699999999999,100,0,807.1,4.33,12.6,18.8299999999999,0.56,26.8099999999999,6.74,0,37.39,1.4,14.24,0,0,0,0,13.42,0,0.1324,1032,4.5310001,-210.5,12.54,0.38,43.2799988,17.4500008,21.6000004,6.74,53.03,0,13.42,0.38,65.4899998,21.6000004,22,NA,NA,483.219145396,483.121337891,19.160218617999988,Lucy Lake,Northern Lakes and Forests,Northern Highland,070700010806,0.00172843888201569,0.0023200456564401,0.0012235805707306,0.0023200456564401,0.00172843888201569,1.5575206835165352,20873.299394328424
8900,204752.758043999,2169.72412455999,43.6088845,-88.1673186,51,143,32,11,0.5781,43.6099999999999,870,3.99,-10.3,100,0,827.1,7.73,15.3699999999999,21.37,0.58,37.3299999999999,12.07,0,36.24,1.57,0,0,0.36,0,0,11.66,0.76,0.1344,856.9000244,6.1929998,1509.5,21.7999992,14.8100004,38.6199989,0,23.7299995,12.07,37.81,0,12.42,14.8100004,38.6199989,24.7699995,233.1111111,14.6875,25.7125,305.167275107,304.918243408,22.180716835999988,Forest Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040400030206,0.00562738337133116,0.00100556430148427,0.00587860661400043,0.00100556430148427,0.00562738337133116,1.3526477223385165,20992.531787647535
63700,36850.9066127999,976.310036274,43.9689707499999,-87.89580737,9,145,23,11,0.5886,43.9699999999999,186,4.885,-254.8,0,0,826.899999999999,7.69,15.49,21.64,0.59,5.95,9.58,0,47.4399999999999,0,1.43,0.77,1.09,18.1999999999999,9.46,6.1,0,0.0598,186,2.404,72.2999999999999,8.1899996,9.1999998,26.9200001,7.1900001,42.8100014,9.58,48.8699999999999,27.6599999999999,6.1,9.1999998,34.1100002,42.8100014,494,NA,NA,273.471268447,273.377990723,34.56846544000001,Spring Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040301010801,0.00272768125895749,0.00789159499906476,0.00369916289771193,0.00789159499906476,0.00272768125895749,1.43469218725839,5256.605416638124
421600,160368.823538,1531.07807051,45.2331599999999,-88.370834,40,147,23,NA,0.5933,45.2299999999999,1256,2.224,-49.2999999999999,0,100,801.899999999999,5.77,13.74,19.87,0.59,28.82,12.68,0,21.7399999999999,0,5.22,0.1,0,0,0,31.43,0,0.0992,1256,2.6489999,-12.6,14.1099997,3.4300001,6.4499998,4.54,71.4700012,12.68,26.959999999999898,0,31.43,3.4300001,10.9899998,71.4700012,37,NA,NA,288.310571868,288.224700928,22.60794619799998,Grindle Lake - Staff Gage,Northern Lakes and Forests,Northeast Sands,040301040205,-9.44944200609282e-6,0.00339765663689681,-7.11006815917589e-4,0.00339765663689681,0.00339765663689681,1.0785305035365778,22875.844964338696
502300,239560.391211999,1887.69078257,45.36582294,-88.12427682,59,153,53,15,0.6181,45.3599999999999,1256,1.558,-87.5,0,100,785.5,5.6,13.5299999999999,19.68,0.62,40.3999999999999,8.48,6.52,36.21,0,0,2.48,0,0,0,5.18,0.74,0.1147,1256,4.9390001,-164.099999999999,15.4300003,7.5,41.3300018,0,10.29,15,36.21,0,5.92,29.0300007,41.3300018,12.819999999999999,180,NA,NA,271.865969418,270.959075928,15.841763735999962,Little Newton Lake,Northern Lakes and Forests,Northeast Sands,040301050302,8.74174281269357e-5,-0.00253325531451171,-0.00250791989473216,-0.00253325531451171,-0.00253325531451171,1.0879737482308949,14829.420542514668
107500,125454.025366,1320.85992358,43.9525412799999,-89.5480119399999,31,159,12,7,0.6453,43.95,1049,4.09,-877.7,0,1.97,795.899999999999,6.81,14.96,21.0799999999999,0.65,21.8799999999999,7.24,0.36,22.9499999999999,0,4.59,0,1.66,0,34.2199999999999,6.28,0.84,0.0871,1049,5.9530001,-116.3,24.9099998,19.75,13.8900003,4.02,15.6099997,7.6000000000000005,27.5399999999999,34.2199999999999,7.12,19.75,17.9100003,17.7899998,163,NA,NA,291.393065651,291.076202393,20.74307326500002,School Section Lake,North Central Hardwood Forests,Central Sand Hills,040302010301,0.00166507700595748,0.00408337722039754,0.00316626595901064,0.00408337722039754,0.00166507700595748,1.0519849602790514,34299.547617563425
2466300,204510.251537,1999.75183909,45.72967718,-92.34366187,51,165,41,8,0.6672,45.7299999999999,815.899999999999,2.634,-50.3999999999999,0,100,818.6,5.86,14.56,20.8999999999999,0.67,32.34,5.77,0,39.52,1.62,5.86,0,0,0,0,8.77,6.12,0.1217,824,6.178,-343.6,21.2000008,5.8299999,43.7999992,2.46,18.9799995,5.77,47,0,14.89,5.8299999,46.2599992,26.6999993,46,NA,NA,299.668785039,299.620849609,20.798011836,Godfrey Lake,Northern Lakes and Forests,Northwest Sands,070300010903,8.40045602975288e-9,0.00113682518025116,0.00538854907292123,0.00113682518025116,0.00113682518025116,1.2474226670943283,16365.009565408744
192500,80028.3347841999,1337.64446077,45.05111105,-89.07465251,20,166,18,11,0.6717,45.0499999999999,530,1.049,-1.8,0,60.43,780,5.14,13.33,19.43,0.67,11.7899999999999,5.09,0,6.4,0,0,1.34,2.62,12.13,54.7299999999999,4.29,1.61,0.0869,530,1.827,6.9,7.02,15.8800001,21.2900009,0,13.2299995,5.09,6.4,66.8599999999999,5.9,15.8800001,21.2900009,13.2299995,44,NA,NA,415.54207785,414.175445557,6.184362580000027,Meyer Lake,North Central Hardwood Forests,Forest Transition,040302020501,0.00135518732234549,0.00203807219574571,-0.001480401947361,0.00203807219574571,0.00135518732234549,1.333871131335758,14586.675193970526
