WBIC,LakeName,US_L3NAME,ECO_LANDSC,HUC12_CODE,lat,long,SHAPE_AREA,SHAPE_LEN,Area,MaxDepth,MeanDepth,R_AREA,R_PERM,R_SLOPE,R_DARCY,R_LU06_11,R_LU06_21,R_LU06_22,R_LU06_41,R_LU06_42,R_LU06_43,R_LU06_82,R_LU06_90,R_LU06_95,cond,mg_average,ca_average,lake_MEAN,watershed_MIN,elevation_difference,mean_ann_wdrl_gals,slope2,slope3,slope4,slope5,slopenearest
77600,Boot Lake,Southeastern Wisconsin Till Plains,Central Lake Michigan Coastal,040301010302,44.14647208,-88.04505537,42523.4691766,1017.88825927,11,16,8,0.0684,82,0.707,117,7.46,0,4.3899999,0,0,0,59.3600006,15.21,0,418.1111111,NA,NA,255.797988892,255.715393066,8.21873474100002,379882821.916667,0.0082816788172118,0.00506048853000518,0.00252861076870604,0.00506048853000518,0.0082816788172118
779300,Pretty Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,070900020305,42.95497772,-88.49890784,262399.662568999,2130.73537595,65,35,NA,0.1327,909,2.299,-20.4,10.1000004,5.0500002,19.5900002,7.3800001,0,0,0,46.6500015,11.2299995,392,NA,NA,262.798556482,262.267822266,6.367153967000036,183815322.857143,0.0011572656689786,4.91991721863261e-4,0.00106646098447033,4.91991721863261e-4,0.0011572656689786
1859400,Ten Lake,Northern Lakes and Forests,North Central Forest,070500030108,45.6221921499999,-90.4867348399999,170008.776852,2284.00938382,42,37,17,0.1296,431,5.3629999,6.7,16.2000008,3.4000001,1.3099999,6.48,6.71,11.8100004,0.77,53.3199997,0,18,NA,NA,455.051672403,454.520507813,26.776391562000015,0,0.00321350393304443,0.00190394781737754,0.00210757907458615,0.00190394781737754,0.00321350393304443
2493900,Round Lake,Northern Lakes and Forests,Northwest Sands,070300010204,46.2282750899999,-91.936299,134593.156289,1324.43489036,33,76,28,0.087,1032,10.3079996,-1643.2,20.6900005,0,2.99,31.9500008,18.9699993,25.3999996,0,0,0,25,0.567830508,2.126190476,314.598493478,314.501220703,19.010667898999998,0,0.0015239214795481,0.00362023942010076,0.00225957298133576,0.00362023942010076,0.0015239214795481
1002600,Lucy Lake,Northern Lakes and Forests,Northern Highland,070700010806,45.9026243699999,-89.8398036199999,146330.178074,2112.05734307,36,23,NA,0.1324,1032,4.5310001,-210.5,12.54,0.38,0,43.2799988,4.7600002,17.4500008,0,21.6000004,0,22,NA,NA,483.219145396,483.121337891,19.160218617999988,0,0.00172843888201569,0.0023200456564401,0.0012235805707306,0.0023200456564401,0.00172843888201569
8900,Forest Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040400030206,43.6088845,-88.1673186,204752.758043999,2169.72412455999,51,32,11,0.1344,856.9000244,6.1929998,1509.5,21.7999992,14.8100004,0,38.6199989,0,0,0,23.7299995,1.04,233.1111111,14.6875,25.7125,305.167275107,304.918243408,22.180716835999988,1995524.9,0.00562738337133116,0.00100556430148427,0.00587860661400043,0.00100556430148427,0.00562738337133116
63700,Spring Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040301010801,43.9689707499999,-87.89580737,36850.9066127999,976.310036274,9,23,11,0.0598,186,2.404,72.2999999999999,8.1899996,9.1999998,0,26.9200001,0,7.1900001,3.8499999,42.8100014,0,494,NA,NA,273.471268447,273.377990723,34.56846544000001,0,0.00272768125895749,0.00789159499906476,0.00369916289771193,0.00789159499906476,0.00272768125895749
421600,Grindle Lake - Staff Gage,Northern Lakes and Forests,Northeast Sands,040301040205,45.2331599999999,-88.370834,160368.823538,1531.07807051,40,23,NA,0.0992,1256,2.6489999,-12.6,14.1099997,3.4300001,0,6.4499998,0,4.54,0,71.4700012,0,37,NA,NA,288.310571868,288.224700928,22.60794619799998,3950318.75,-9.44944200609282e-6,0.00339765663689681,-7.11006815917589e-4,0.00339765663689681,0.00339765663689681
502300,Little Newton Lake,Northern Lakes and Forests,Northeast Sands,040301050302,45.36582294,-88.12427682,239560.391211999,1887.69078257,59,53,15,0.1147,1256,4.9390001,-164.099999999999,15.4300003,7.5,21.5300007,41.3300018,0,0,0,10.29,2.53,180,NA,NA,271.865969418,270.959075928,15.841763735999962,29829,8.74174281269357e-5,-0.00253325531451171,-0.00250791989473216,-0.00253325531451171,-0.00253325531451171
107500,School Section Lake,North Central Hardwood Forests,Central Sand Hills,040302010301,43.9525412799999,-89.5480119399999,125454.025366,1320.85992358,31,12,7,0.0871,1049,5.9530001,-116.3,24.9099998,19.75,0,13.8900003,0,4.02,19.6299992,15.6099997,2.1800001,163,NA,NA,291.393065651,291.076202393,20.74307326500002,0,0.00166507700595748,0.00408337722039754,0.00316626595901064,0.00408337722039754,0.00166507700595748
