WBIC,WiscID,LakeName,US_L3NAME,ECO_LANDSC,HUC12_CODE,ag,area_depth_ratio,CaConcentration,cation_ratio,cond,develop,elevation_difference,forest,lake_MEAN,landscapeposition,lat,long,MaxDepth,mean_ann_wdrl_gals,MgConcentration,SDI,SHAPE_AREA,SHAPE_LEN,slope2,slope3,slope4,slope5,slopenearest,TRW_AREA,W_AREA,W_DARCY,W_LA_Ratio,W_LU06_11,W_LU06_21,W_LU06_22,W_LU06_41,W_LU06_42,W_LU06_43,W_LU06_52,W_LU06_71,W_LU06_81,W_LU06_82,W_LU06_90,W_LU06_95,W_PERM,W_QG_1,W_SLOPE,watershed_MIN,wetland
77600,28,Boot Lake,Southeastern Wisconsin Till Plains,Central Lake Michigan Coastal,040301010302,2.1411981209720183,3.940543547025989,NA,NA,1.996757537472334,0.8688188218147467,-1.861773741899962,-1.970221799940921,-1.6586208154737074,-3,44.14647208,-88.04505537,-0.6601758588085087,19490.58290348616,NA,-0.3140348163563374,-1.8755055234085782,-1.6069879838219885,1.524315946220314,0.8977282334357386,0.15217403053874184,0.8977282334357386,1.2914598278054332,-1.6668878624084489,-1.5434460717996517,1.0764625744523115,0.8045509993601846,-0.9350321191982706,-0.08906247674735175,1.5871098302514515,-2.151689140502293,-1.1412559174902057,-1.590030381364211,0,2.45,2.5506349657477156,1.211232130921345,0.22837485122790602,-0.9293877537115448,-2.2291120310900543,100,-0.8301541882434961,-1.6375678272077054,0.07554015937511
779300,323,Pretty Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,070900020305,-0.22284529497733518,4.390897921326021,NA,NA,1.827094317404093,1.1464405724020301,-2.088896259516105,-1.6190406418578953,-1.3841690576831365,-2,42.95497772,-88.49890784,0.468469928802032,13557.85096754434,NA,-1.1150495074468156,-0.09848881096741934,-0.490966326139614,-0.24608614149087651,-0.760285021407138,-0.6227066349521077,-0.760285021407138,-0.4536121716709362,-1.654602420011307,-1.5217263804791616,1.5440317335430267,-2.1627695432374243,1.9367884240854807,-0.2756776037287553,1.811463987083217,-1.4617660478062142,-1.1412559174902057,-0.8377866503114122,0,0,0.08365173390712907,-0.7420376638648116,1.3192164085291145,1.6396629388310073,0.25891746204365973,100,-1.5805608006808363,-1.3984197990875322,1.476592340131355
1859400,558,Ten Lake,Northern Lakes and Forests,North Central Forest,070500030108,0.2784783772432314,4.178283464197604,NA,NA,-1.260681614036899,-1.0959097323129479,-0.03248901842656556,-1.0630537780422005,0.7316817288286644,-2,45.62219215,-90.48673484,0.5623214678813168,0.03162277660168379,NA,0.1532372893451874,-0.5304932601305601,-0.3860240879452594,0.5331171560668585,-0.07586709218177459,-0.0812977245032098,-0.07586709218177459,0.29664354684372296,-1.630350444490277,-1.4961372999295992,0.1788384972318122,-1.1438285218030613,1.1315228029876168,-1.0024443480538772,0.35450123150650453,-1.307612643306204,0.13245595866652132,0.5430479707678135,0,0,0.28408650830345994,0.5120698130124747,1.728654396717822,-0.9293877537115448,-0.778016748138332,0,0.6034091162654472,0.7316817288286644,1.580560800680836
2493900,812,Round Lake,Northern Lakes and Forests,Northwest Sands,070300010204,-0.8926530305492272,3.7642691626601414,2.126190476,3.7444104288950957,-0.705740797299261,-0.19254946155459687,-0.6359055071751977,1.0947420835873862,-0.3710730096572488,-3,46.22827509,-91.936299,1.973814954314328,0.03162277660168379,0.567830508,-1.8899964903536015,-0.760855812454671,-1.2092834626979543,-0.04332462143522675,0.5268868902855671,0.016242366021018417,0.5268868902855671,-0.27408763153441384,-1.6183807093135243,-1.4665566558604015,-2.338625213861151,-0.65833890553589125,0.5606975592141031,-0.8377866503114122,1.1802270398885992,0.3336687909208048,1.211232130921345,1.2693925968658268,0.2,0,-0.6761825800161908,-0.7420376638648116,-0.9007111185545419,-0.9293877537115448,0.8339643464959677,0,0.3809695997134159,-0.3710730096572488,-1.245621934113339
1002600,417,Lucy Lake,Northern Lakes and Forests,Northern Highland,070700010806,-0.8926530305492272,4.319611908142073,NA,NA,-0.906580228808151,0.03504606262275368,-0.6161478005678376,0.23755693165837544,0.9223011961499742,-3,45.90262437,-89.83980362,-0.17949939090882652,0.03162277660168379,NA,0.14068522709030443,-0.6785749541248282,-0.5042676522949417,0.0704386964100185,0.09216634785597431,-0.5083169263463979,0.09216634785597431,-0.17412012373699814,-1.6065130648921926,-1.4422108931018849,-0.20629672090684043,-0.7671185395447288,0.7334669628438932,0.29532982435196037,-0.9332529786130314,0.1850687439476012,0.053932118150084335,0.7279132908816445,0,0,-0.6761825800161908,-0.7420376638648116,0.857085110271485,-0.9293877537115448,0.8339643464959677,0,0.02156406489069764,1.035970333996244,0.6694228078842914
8900,3,Forest Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040400030206,-0.8926530305492272,4.32208550703686,25.7125,1.7506382978723403,1.1691130702566208,1.1258829815474236,-0.32505375415938637,-0.5283634121724138,-0.5021660018163066,-3,43.6088845,-88.1673186,0.3212548021714768,1412.6304899017293,14.6875,-0.44029977944638987,-0.3460406165164342,-0.4635727235278837,1.093218090203177,-0.5268868902855675,1.2669208705003825,-0.5268868902855675,0.9389972009831155,-1.583078012956967,-1.4151694809742128,1.1361017601130616,-1.372507544092069,1.3873138670972964,1.476592340131355,-0.9332529786130314,0.12303156128185658,0.09176881635419251,-1.590030381364211,0,0.36,-0.6761825800161908,-0.7420376638648116,0.6327732610149337,0.1925494615545967,0.2672881474957115,0,0.9419142200583228,-0.4899206290217815,0.5305957740892288
63700,20,Spring Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040301010801,0.8532000293903961,3.720787989186275,NA,NA,2.191933905000463,0.7035381667599097,0.46564631900236847,0.01650669594420229,-1.093218090203177,-3,43.96897075,-87.89580737,-0.17949939090882652,0.03162277660168379,NA,-0.18771689109836714,-2.011539979882577,-1.6699927162438566,0.38269780183403934,1.3297965493484825,0.6096153654532457,1.3297965493484825,0.15217403053874184,-1.5715076669276558,-1.3954573240875892,-0.8532000293903961,1.0704577591065683,-1.2169764245413177,1.066890012477051,-0.9332529786130314,0.7032028037456258,-1.1412559174902057,-0.6459996688165814,0.77,1.09,1.476592340131355,0.6393724834975358,0,-0.9293877537115448,-1.5010859460440247,0,1.5265147478972014,-1.0641582437836297,-0.20629672090684043
421600,206,Grindle Lake - Staff Gage,Northern Lakes and Forests,Northeast Sands,040301040205,-0.8926530305492272,4.359396128990768,NA,NA,-0.25730513147612516,1.211232130921345,-0.30230573549227796,-1.0074150279655458,-0.8977282334357386,-3,45.23316,-88.370834,-0.17949939090882652,1987.5408803342889,NA,-1.562872682897831,-0.5881997832526129,-0.9902504672542718,-0.9140489129064885,0.44164336261580817,-1.5975139622408994,0.44164336261580817,0.35949814909531186,-1.5715076669276558,-1.386747452849765,0.5873193507596108,-0.8415779606921544,0.8675008161993342,1.5094540254601396,-0.9332529786130314,-0.7146681647549995,-1.1412559174902057,0.01617250027815112,0.1,0,-0.6761825800161908,-0.7420376638648116,1.8339146358159142,-0.9293877537115448,2.3386252138611514,100,-0.3349876417947536,-0.8736857436530256,1.6396629388310073
502300,232,Little Newton Lake,Northern Lakes and Forests,Northeast Sands,040301050302,-0.8926530305492272,4.1711534663826635,NA,NA,0.8740407359964101,1.3454045594534596,-1.0737441560248517,-0.6023154764003513,-1.1438164072003374,-3,45.36582294,-88.12427682,1.2194007626799068,172.71074373066662,NA,-1.514792750950097,-0.1895616504011161,-0.6739335057827831,-0.7821519656808962,-2.088896259516105,-2.5491321810289698,-2.088896259516105,-1.7511875638662064,-1.5373683539439318,-1.3419021341194677,0.22008308045388322,-1.5658498179729161,1.5594597073486869,0.7635066627525642,1.7463508845980475,0.12140520484445393,-1.1412559174902057,-1.590030381364211,2.48,0,-0.6761825800161908,-0.7420376638648116,-0.10802168007425349,0.184318704982178,2.3386252138611514,100,-1.0959097323129479,-1.1542928433515631,-0.23391139914978148
107500,64,School Section Lake,North Central Hardwood Forests,Central Sand Hills,040302010301,1.0861348071935895,4.535301053727537,NA,NA,0.7964609017040166,0.2450062230373207,-0.4536121716709362,-0.9831004269938093,-0.8346981403522097,-3,43.95254128,-89.54801194,-0.9945733238572064,0.03162277660168379,NA,-1.7026519610871103,-0.8299082514371552,-1.2133667593721031,0.016242366021018417,0.6761898966573554,0.34797125523229666,0.6761898966573554,-0.2238241104227596,-1.5040582444988309,-1.2947406498775345,-1.9645843429327174,-0.28318806186251677,0.3808028838571466,0.3925882004909257,0.04207209146221271,-0.6405062417116092,-1.1412559174902057,-0.043138163096027714,0,1.66,-0.6761825800161908,1.415270341619124,0.026956256425823426,0.23945512659668228,1.5620357384931582,1.97,1.0024443480538772,-0.8346981403522097,-0.05933137430347009
