wiscwaterl,clusterid,SiteID,SiteType,Latitude,Longitude,US_L3NAME,HUC4,HUC4_Name,HUC4_hectares,HUC8,HUC8_Name,HUC8_hectares,HUC12,HUC12_Name,HUC12_hectares
1,2,1000800.000000,Lake,44.206906,-89.455314,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030501,Non-Contributing-Tenmile Creek,22082.18906140000
2,4,1012000.000000,Lake,44.130089,-89.509881,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030501,Non-Contributing-Tenmile Creek,22082.18906140000
3,4,101300.000000,Lake,44.137632,-89.290623,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022004,Bruce Creek-Willow Creek,14339.45172110000
4,4,102100.400000,Lake,44.069161,-89.262262,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010804,Little Lunch Creek-White River,6921.41385840000
5,4,102900.000000,Lake,44.043058,-89.216795,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010804,Little Lunch Creek-White River,6921.41385840000
6,4,103900.400000,Lake,44.065908,-89.232385,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010804,Little Lunch Creek-White River,6921.41385840000
7,4,104600.000000,Lake,44.024028,-89.208726,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010805,Sucker Creek,5093.43869147000
8,4,105200.000000,Lake,44.045695,-89.210480,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010804,Little Lunch Creek-White River,6921.41385840000
9,2,105800.400000,Lake,44.109285,-89.388548,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010801,West Branch White River,8250.77632942000
10,4,106900.400000,Lake,43.984973,-89.552019,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010301,Tagatz Creek,5684.59268353000
11,4,107900.000000,Lake,44.054763,-89.233860,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010804,Little Lunch Creek-White River,6921.41385840000
12,4,117400.400000,Lake,44.033440,-89.304140,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010803,Lunch Creek,5762.76307021000
13,4,131100.000000,Lake,44.009706,-88.527337,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030203,Lake Winnebago,148229.15410100000,040302030401,Lake Winnebago,53499.79279700000
14,1,146100.000000,Lake,43.798889,-89.034722,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010902,Big Green Lake,12434.80301630000
15,4,149000.000000,Lake,44.011155,-89.160730,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010805,Sucker Creek,5093.43869147000
16,4,156300.000000,Lake,44.003746,-89.428959,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010701,Weddle Creek,6560.38145272000
17,4,1631900.000000,Lake,46.121618,-89.152080,Northern Lakes and Forests,0707,Wisconsin,3090691.10055000000,07070001,Upper Wisconsin,564561.55749500000,070700010302,Lac Vieux Desert-Wisconsin River,13341.12015200000
18,4,182100.400000,Lake,44.151602,-89.163867,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022002,Carpenter Creek-Pine River,11746.24354140000
19,4,182300.400000,Lake,44.235911,-89.140319,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022001,Humphrey Creek-Pine River,12515.07202440000
20,2,1835300.200000,Lake,46.008472,-89.629379,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
21,2,1842400.200000,Lake,45.999642,-89.610408,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
22,4,186400.400000,Lake,44.212678,-89.169303,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022001,Humphrey Creek-Pine River,12515.07202440000
23,3,1881900.000000,Lake,46.006239,-89.695876,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
24,4,189600.000000,Lake,44.170857,-89.164774,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022002,Carpenter Creek-Pine River,11746.24354140000
25,4,190200.400000,Lake,44.147613,-89.152478,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022002,Carpenter Creek-Pine River,11746.24354140000
26,4,191100.400000,Lake,44.216309,-89.124945,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022001,Humphrey Creek-Pine River,12515.07202440000
27,4,195400.000000,Lake,44.088606,-89.118028,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022004,Bruce Creek-Willow Creek,14339.45172110000
28,4,196100.400000,Lake,44.232756,-89.162456,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022001,Humphrey Creek-Pine River,12515.07202440000
29,4,197300.400000,Lake,44.162463,-89.161779,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022002,Carpenter Creek-Pine River,11746.24354140000
30,3,2014700.000000,Lake,46.040778,-89.685547,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
31,2,2017500.000000,Lake,46.007941,-89.606314,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
32,4,2331600.200000,Lake,46.012891,-89.671613,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
33,1,2332400.000000,Lake,46.033973,-89.630228,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
34,4,245800.000000,Lake,44.080332,-89.210796,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022004,Bruce Creek-Willow Creek,14339.45172110000
35,4,246900.000000,Lake,44.096256,-89.222363,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022004,Bruce Creek-Willow Creek,14339.45172110000
36,4,247200.000000,Lake,44.142680,-89.216989,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022004,Bruce Creek-Willow Creek,14339.45172110000
37,4,247700.000000,Lake,44.169530,-89.210191,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022004,Bruce Creek-Willow Creek,14339.45172110000
38,2,2496300.000000,Lake,45.746059,-91.916842,North Central Hardwood Forests,0703,St. Croix,1999384.11855000000,07030001,Upper St. Croix,524729.82172600000,070300010403,Shell Lake,8714.19185779000
39,4,250000.400000,Lake,44.174824,-89.173961,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302022002,Carpenter Creek-Pine River,11746.24354140000
40,1,758300.000000,Lake,42.558072,-88.542600,Southeastern Wisconsin Till Plains,0712,Upper Illinois,2830975.33222000000,07120006,Upper Fox,399928.83086500000,071200060602,Lake Geneva-White River,10216.44312180000
41,1,761700.000000,Lake,42.813350,-88.142032,Southeastern Wisconsin Till Plains,0712,Upper Illinois,2830975.33222000000,07120006,Upper Fox,399928.83086500000,071200060304,Wind Lake Drainage Canal,7413.62799708000
42,1,778300.100000,Lake,43.047500,-88.479722,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020303,Nemahbin Lake-Bark River,5143.48809163000
43,1,802600.000000,Lake,42.954167,-89.279722,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020902,Lake Kegonsa-Yahara River,7448.87838360000
44,1,803700.000000,Lake,43.008889,-89.305278,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020703,Lake Waubesa-Yahara River,5959.31756650000
45,1,804600.000000,Lake,43.063330,-89.397064,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020702,Lake Monona-Yahara River,12257.24620780000
46,1,805400.000000,Lake,43.098329,-89.407897,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020604,Lake Mendota-Yahara River,9139.87685073000
47,1,808700.000000,Lake,42.857506,-88.940943,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900021003,Lake Koshkonong-Rock River,15995.28030880000
48,2,968800.100000,Lake,45.950139,-89.054250,Northern Lakes and Forests,0707,Wisconsin,3090691.10055000000,07070001,Upper Wisconsin,564561.55749500000,070700010102,Blackjack Creek,4171.17492628000
49,1,980900.100000,Lake,43.426389,-89.727778,Driftless Area,0707,Wisconsin,3090691.10055000000,07070004,Baraboo,169737.19673600000,070700040402,Devil's Lake-Baraboo River,4085.03527533000
50,2,985000.000000,Lake,44.118863,-89.477621,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030501,Non-Contributing-Tenmile Creek,22082.18906140000
51,2,994900.000000,Lake,44.195639,-89.417472,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030501,Non-Contributing-Tenmile Creek,22082.18906140000
52,2,994900.400000,Lake,44.193433,-89.417963,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030501,Non-Contributing-Tenmile Creek,22082.18906140000
53,1,0.000000,Well,43.966700,-89.817270,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700031802,Klein Creek,8674.94067453000
54,3,0.000000,Well,46.185790,-90.625180,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050001,Upper Chippewa,500313.06554700000,070500010206,Dryden Creek,6415.00964585000
55,1,0.000000,Well,44.642490,-88.038440,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030103,Duck-Pensaukee,86190.78547820000,040301030205,North Branch Suamico River-Suamico River,10592.92486670000
56,3,0.000000,Well,45.408290,-91.592390,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050007,Red Cedar,489740.10617000000,070500070401,Pokegama Creek,12845.63117020000
57,3,0.000000,Well,45.873790,-92.365640,Northern Lakes and Forests,0703,St. Croix,1999384.11855000000,07030001,Upper St. Croix,524729.82172600000,070300010905,Black Brook-Clam River,10930.25981680000
58,2,0.000000,Well,44.910790,-91.265990,North Central Hardwood Forests,0705,Chippewa,2470307.88753000000,07050005,Lower Chippewa,533484.59657200000,070500050307,South Fork of Paint Creek-Paint Creek,10048.18748180000
59,1,0.000000,Well,43.489150,-89.416510,Southeastern Wisconsin Till Plains,0707,Wisconsin,3090691.10055000000,07070005,Lower Wisconsin,611638.46347800000,070700050104,Rocky Run,6288.85343671000
60,1,0.000000,Well,43.225540,-91.076240,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060001,Coon-Yellow,368849.49662800000,070600010707,Leitner Creek-Mississippi River,11877.13115030000
61,3,0.000000,Well,46.033600,-89.653067,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
62,1,0.000000,Well,43.404250,-88.923940,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090001,Upper Rock,490279.31004800000,070900010905,Calamus Creek,7948.66882161000
63,1,0.000000,Well,42.941390,-89.594290,Driftless Area,0709,Rock,2827592.80343000000,07090004,Sugar,196981.11654600000,070900040103,West Branch Sugar River,4473.00213924000
64,1,0.000000,Well,42.999722,-89.527056,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090004,Sugar,196981.11654600000,070900040201,Badger Mill Creek,8766.21041285000
65,1,0.000000,Well,43.110680,-89.591950,Driftless Area,0707,Wisconsin,3090691.10055000000,07070005,Lower Wisconsin,611638.46347800000,070700050501,Upper Black Earth Creek,6566.17289954000
66,1,0.000000,Well,43.074280,-89.480170,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020604,Lake Mendota-Yahara River,9139.87685073000
67,1,0.000000,Well,43.068372,-89.392800,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020702,Lake Monona-Yahara River,12257.24620780000
68,1,0.000000,Well,43.220000,-89.798060,Driftless Area,0707,Wisconsin,3090691.10055000000,07070005,Lower Wisconsin,611638.46347800000,070700050303,Dunbar Creek-Wisconsin River,12433.69508580000
69,1,0.000000,Well,43.208980,-89.175770,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090001,Upper Rock,490279.31004800000,070900010801,Headwaters Maunesha River,9360.51429564000
70,4,0.000000,Well,46.322440,-91.811860,Northern Lakes and Forests,0703,St. Croix,1999384.11855000000,07030001,Upper St. Croix,524729.82172600000,070300010104,Headwaters-Upper St. Croix,9294.03986881000
71,1,0.000000,Well,43.708600,-88.522010,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030203,Lake Winnebago,148229.15410100000,040302030203,Parsons Creek-East Branch Fond Du Lac River,9576.91254358000
72,3,0.000000,Well,45.457220,-88.728890,Northern Lakes and Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030104,Oconto,248870.27807100000,040301040203,Torpee Creek-North Branch Oconto River,14218.07071290000
73,3,0.000000,Well,45.934960,-88.991790,Northern Lakes and Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030108,Menominee,593867.98624700000,040301080201,North Branch Pine River,9037.81882156000
74,1,0.000000,Well,43.710540,-88.990390,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010402,Little Green Lake-Grand River,5918.15787700000
75,1,0.000000,Well,43.836370,-89.082620,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302011102,Mill Race-Fox River,9452.33191420000
76,1,0.000000,Well,42.740837,-89.829846,Driftless Area,0709,Rock,2827592.80343000000,07090003,Pecatonica,486956.55851700000,070900030803,Dougherty Creek,7240.51334159000
77,1,0.000000,Well,42.930823,-90.653738,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060003,Grant-Little Maquoketa,289831.62012400000,070600030104,Headwaters Grant River,10634.40193050000
