WiscID,Year,Month,Value,Date
3,1994,5,2862.072,1994-05-01
3,1994,6,2700.528,1994-06-01
3,1994,7,2700.528,1994-07-01
3,1994,8,2712.7200000000003,1994-08-01
3,1995,2,2606.0400000000004,1995-02-01
3,1995,4,2651.7599999999998,1995-04-01
3,1995,6,2606.0400000000004,1995-06-01
3,1995,7,2468.88,1995-07-01
3,1995,8,2432.304,1995-08-01
3,1996,2,2538.984,1996-02-01
3,1996,5,2557.2720000000004,1996-05-01
3,1996,6,2734.0560000000005,1996-06-01
3,1996,7,2746.248,1996-07-01
3,1996,8,2673.096,1996-08-01
3,2005,6,2657.856,2005-06-01
3,2005,7,2493.264,2005-07-01
4,1967,9,28885.896,1967-09-01
4,1970,6,29419.296,1970-06-01
4,1984,4,29492.448000000004,1984-04-01
4,1985,9,29513.784,1985-09-01
11,1960,9,29169.36,1960-09-01
11,1970,8,28943.808,1970-08-01
11,1974,6,29074.872000000003,1974-06-01
13,1970,7,29553.408,1970-07-01
13,1974,6,29815.536,1974-06-01
13,1981,8,29644.848,1981-08-01
13,1984,9,29611.320000000003,1984-09-01
15,1970,7,311718.96,1970-07-01
15,1974,6,312142.632,1974-06-01
15,1975,5,312017.664,1975-05-01
15,1981,8,311965.848,1981-08-01
15,1983,6,312136.53599999996,1983-06-01
15,1984,9,312045.096,1984-09-01
16,1928,1,1508.7600000000002,1928-01-01
16,1929,5,1636.776,1929-05-01
16,1936,8,1524,1936-08-01
16,1936,9,1577.3400000000001,1936-09-01
16,1936,10,1559.5600000000002,1936-10-01
16,1936,11,1562.1000000000001,1936-11-01
16,1936,12,1554.48,1936-12-01
16,1937,3,1792.224,1937-03-01
16,1937,4,1830.324,1937-04-01
16,1937,5,1914.1440000000002,1937-05-01
16,1937,6,1914.1440000000002,1937-06-01
16,1937,7,1847.0880000000002,1937-07-01
16,1937,8,1716.0240000000001,1937-08-01
16,1937,9,1624.584,1937-09-01
16,1937,10,1633.728,1937-10-01
16,1937,11,1670.304,1937-11-01
16,1938,3,1987.2960000000003,1938-03-01
16,1938,4,2054.9616,1938-04-01
16,1938,5,2024.634,1938-05-01
16,1938,6,1971.294,1938-06-01
16,1938,7,1940.3568,1938-07-01
16,1938,8,1940.0520000000001,1938-08-01
16,1938,9,1941.576,1938-09-01
16,1938,10,2001.9264,1938-10-01
16,1938,11,1988.8200000000002,1938-11-01
16,1938,12,1981.2,1938-12-01
16,1939,4,2112.264,1939-04-01
16,1939,9,1882.14,1939-09-01
16,1939,10,1810.5120000000002,1939-10-01
16,1939,11,1786.1280000000002,1939-11-01
16,1939,12,1786.1280000000002,1939-12-01
16,1940,4,1847.088,1940-04-01
16,1940,6,1892.1984,1940-06-01
16,1940,7,1914.1440000000002,1940-07-01
16,1940,8,1901.952,1940-08-01
16,1940,9,1935.48,1940-09-01
16,1940,10,1880.616,1940-10-01
16,1940,11,1882.4448000000002,1940-11-01
16,1940,12,1889.7600000000002,1940-12-01
16,1941,1,1953.7680000000003,1941-01-01
16,1941,2,1962.9120000000003,1941-02-01
16,1941,3,1962.9120000000003,1941-03-01
16,1941,4,2086.0512000000003,1941-04-01
16,1941,5,2079.9552000000003,1941-05-01
16,1941,6,2013.204,1941-06-01
16,1941,7,1958.3400000000001,1941-07-01
16,1941,8,1871.472,1941-08-01
16,1941,9,1965.96,1941-09-01
16,1941,10,2019.3,1941-10-01
16,1941,11,2072.64,1941-11-01
16,1941,12,2072.64,1941-12-01
16,1942,4,2199.4368,1942-04-01
16,1942,5,2244.5472,1942-05-01
16,1942,6,2316.48,1942-06-01
16,1942,7,2419.4346666666665,1942-07-01
16,1942,8,2483.8250322580643,1942-08-01
16,1942,9,2489.5048,1942-09-01
16,1945,4,2397.252,1945-04-01
16,1945,5,2363.724,1945-05-01
16,1945,6,2472.5376,1945-06-01
16,1945,7,2468.88,1945-07-01
16,1945,8,2365.248,1945-08-01
16,1945,9,2337.816,1945-09-01
16,1945,10,2337.816,1945-10-01
16,1945,11,2302.764,1945-11-01
16,1945,12,2346.96,1945-12-01
16,1946,3,2613.152,1946-03-01
16,1946,4,2529.84,1946-04-01
16,1946,5,2491.74,1946-05-01
16,1946,6,2444.496,1946-06-01
16,1946,7,2471.928,1946-07-01
16,1946,8,2405.4816,1946-08-01
16,1946,9,2303.0688,1946-09-01
16,1946,10,2228.0879999999997,1946-10-01
16,1946,11,2234.7936,1946-11-01
16,1946,12,2210.4096,1946-12-01
16,1947,1,2250.948,1947-01-01
16,1947,2,2255.52,1947-02-01
16,1947,3,2256.7392,1947-03-01
16,1947,4,2417.6736,1947-04-01
16,1947,5,2440.2288,1947-05-01
16,1947,6,2451.354,1947-06-01
16,1947,7,2437.638,1947-07-01
16,1947,8,2345.436,1947-08-01
16,1947,9,2265.2736,1947-09-01
16,1947,10,2238.756,1947-10-01
16,1947,11,2239.6704,1947-11-01
16,1947,12,2261.616,1947-12-01
16,1948,1,2272.792,1948-01-01
16,1948,2,2284.476,1948-02-01
16,1948,3,2353.056,1948-03-01
16,1948,4,2421.636,1948-04-01
16,1948,5,2426.208,1948-05-01
16,1948,6,2417.826,1948-06-01
16,1948,7,2314.0416,1948-07-01
16,1948,8,2202.18,1948-08-01
16,1948,9,2132.3808,1948-09-01
16,1948,10,2076.7039999999997,1948-10-01
16,1948,11,2078.736,1948-11-01
16,1948,12,2128.7232,1948-12-01
16,1949,1,2165.2992,1949-01-01
16,1949,2,2177.796,1949-02-01
16,1949,3,2195.7792,1949-03-01
16,1949,4,2228.6976,1949-04-01
16,1949,5,2212.2384,1949-05-01
16,1949,6,2173.8336,1949-06-01
16,1949,7,2099.4624,1949-07-01
16,1949,8,2036.064,1949-08-01
16,1949,9,1946.656,1949-09-01
16,1949,10,1868.424,1949-10-01
