dat$Date,dat$WBIC,2.5%,50%,97.5%
1950-01-01,1858200,1e4,1e4,1e4
1950-01-02,1858200,9999.115374905781,9999.272950596322,9999.491817759124
1950-01-03,1858200,10002.597589550278,10002.984343856537,10003.371500626647
1950-01-04,1858200,10003.721958198857,10004.119019225083,10004.532224862185
1950-01-05,1858200,10001.94595613863,10002.37293460743,10002.928122806628
1950-01-06,1858200,10000.17632107833,10000.698952461516,10001.267506570668
1950-01-07,1858200,9998.594550088455,9999.063752395603,9999.643325343593
1950-01-08,1858200,9996.768764673137,9997.28312281045,9997.929785757893
1950-01-09,1858200,9995.056390504278,9995.611246047843,9996.19011638796
1950-01-10,1858200,9994.613134483678,9995.143446935166,9995.90502165179
1950-01-11,1858200,9993.00798209207,9993.693286860442,9994.52873944079
1950-01-12,1858200,9991.387566022022,9992.079439855988,9992.874115911472
1950-01-13,1858200,9992.485572561889,9993.1297212540685,9993.884033749504
1950-01-14,1858200,9992.970888099211,9993.676681262423,9994.5024409336
1950-01-15,1858200,10000.438842537005,10001.445074823801,10002.38895235791
1950-01-16,1858200,9998.78603707856,9999.841603372137,10000.872282696735
1950-01-17,1858200,10000.424894928983,10001.36416862121,10002.442425386113
1950-01-18,1858200,9998.939658804702,9999.874189403941,10001.055884160138
1950-01-19,1858200,9997.22206402406,9998.1898653211465,9999.292046005332
1950-01-20,1858200,9998.575220337047,9999.608147068106,10000.6932710442
1950-01-21,1858200,9997.783495459156,9998.855760360359,9999.872260492684
1950-01-22,1858200,9997.703572747027,9998.728318423782,9999.738107733436
1950-01-23,1858200,9998.862649355982,9999.810000946447,10000.862074531717
1950-01-24,1858200,10001.32900865917,10002.368726501714,10003.423703399178
1950-01-25,1858200,10006.466539397552,10007.422669612868,10008.484637017904
1950-01-26,1858200,10006.714540140298,10007.703063361132,10008.842956719038
1950-01-27,1858200,10004.929668057037,10006.000675396263,10007.120162218169
1950-01-28,1858200,10003.189095091362,10004.321115510576,10005.424487917433
1950-01-29,1858200,10001.517141880448,10002.782242977486,10003.93076543849
1950-01-30,1858200,9999.91495185437,10001.259013798117,10002.437661997707
1950-01-31,1858200,9998.705480932593,10000.142792179216,10001.302572205652
1950-02-01,1858200,9996.958792671641,9998.402091635275,9999.693233874525
1950-02-02,1858200,9995.472277434015,9996.847887576803,9998.090745911006
1950-02-03,1858200,9994.062880335869,9995.330657360708,9996.592588637533
1950-02-04,1858200,9992.545265161378,9993.92136035077,9995.081913223228
1950-02-05,1858200,9991.018078092697,9992.377464119414,9993.63248739974
1950-02-06,1858200,9989.598660905864,9991.025822061034,9992.235308103689
1950-02-07,1858200,9988.174288423776,9989.577021057794,9990.813133221258
1950-02-08,1858200,9992.262264315215,9993.668813316595,9995.084177308137
1950-02-09,1858200,9991.392776269182,9992.815846277535,9994.30131691047
1950-02-10,1858200,9989.925392442416,9991.277008086337,9992.721399001883
1950-02-11,1858200,9988.475799799344,9989.865825145112,9991.28184934975
1950-02-12,1858200,9987.044950448251,9988.399945550613,9989.817048893328
1950-02-13,1858200,9986.146923479471,9987.5200557444,9988.885823199773
1950-02-14,1858200,9991.220767777295,9992.732979322096,9994.336910069238
1950-02-15,1858200,9992.051324127984,9993.5986424451,9995.154138591934
1950-02-16,1858200,9990.42444590682,9991.884596984914,9993.506138835979
1950-02-17,1858200,9988.869741260369,9990.413662043971,9992.023775601036
1950-02-18,1858200,9987.728186719029,9989.264574357963,9990.929631859663
1950-02-19,1858200,9986.257273187217,9987.810266918248,9989.456632299745
1950-02-20,1858200,9984.716605669113,9986.312340528139,9987.943326784207
1950-02-21,1858200,9983.190884133364,9984.816585225712,9986.41927767502
1950-02-22,1858200,9981.855382384952,9983.382324045513,9984.945291239153
1950-02-23,1858200,9980.805364645901,9982.412737471084,9983.977289683406
1950-02-24,1858200,9979.301124331356,9980.93096650616,9982.466531412454
1950-02-25,1858200,9977.703168656346,9979.444652397684,9980.98756096037
1950-02-26,1858200,9976.162799543756,9977.83352651425,9979.472619118547
1950-02-27,1858200,9974.431213576518,9976.138935257371,9977.818956803145
1950-02-28,1858200,9972.765925240516,9974.492014898322,9976.112331642622
1950-03-01,1858200,9971.217372528894,9973.03036928591,9974.679323031693
1950-03-02,1858200,9969.813906795745,9971.548122477006,9973.216576722596
1950-03-03,1858200,9968.037997310352,9969.778747494329,9971.551640513353
1950-03-04,1858200,9966.171096788657,9967.985991733454,9969.780954141934
1950-03-05,1858200,9964.692689683015,9966.520518585505,9968.256418582314
1950-03-06,1858200,9963.174062936288,9965.111314874423,9966.72756444991
1950-03-07,1858200,9972.587126898157,9974.627166762035,9976.75213601139
1950-03-08,1858200,9980.491827415357,9982.795560080356,9985.043604061775
1950-03-09,1858200,9978.941292621228,9981.36445112437,9983.60649748104
1950-03-10,1858200,9976.92460202548,9979.41894418066,9981.66721437551
1950-03-11,1858200,9977.140398328833,9979.731401076351,9981.839910450151
1950-03-12,1858200,9975.451492819942,9977.936313794347,9980.159793816307
1950-03-13,1858200,9973.754303556443,9976.322247627253,9978.380680036045
1950-03-14,1858200,9972.113648738485,9974.56662116851,9976.7188559212591
1950-03-15,1858200,9970.47157754789,9972.841240801517,9975.126369512342
1950-03-16,1858200,9970.272413637795,9972.707297879813,9974.911535548224
1950-03-17,1858200,9970.906522189656,9973.280097383617,9975.473589358044
1950-03-18,1858200,9969.179643174879,9971.521617103648,9973.610705435585
1950-03-19,1858200,9967.439381115884,9969.813203967671,9972.01362388243
1950-03-20,1858200,9966.676455865,9968.927333866894,9971.129050730844
1950-03-21,1858200,9968.508516580076,9970.871263928333,9973.110072537062
1950-03-22,1858200,9971.12885528749,9973.569486186154,9975.690410062685
1950-03-23,1858200,9968.862424187933,9971.38847798399,9973.472352823228
1950-03-24,1858200,9968.25194828823,9970.709008603653,9972.845709086527
1950-03-25,1858200,9967.285022521553,9969.75888577109,9971.894679016563
1950-03-26,1858200,9976.927112370537,9979.54904326588,9982.224015964242
1950-03-27,1858200,9980.692465735552,9983.234536589973,9986.039388129022
1950-03-28,1858200,9980.316000192593,9982.894209213508,9985.564106765944
1950-03-29,1858200,9978.443033706546,9981.121276337048,9983.817744727305
1950-03-30,1858200,9976.505661207884,9979.122278174975,9981.832966641425
1950-03-31,1858200,9975.02514475258,9977.729765596549,9980.372793558981
1950-04-01,1858200,9976.480660811856,9979.05571706358,9981.809111119886
1950-04-02,1858200,9977.395751261483,9979.921892304166,9982.671297433764
1950-04-03,1858200,9975.527994471417,9978.079729451065,9980.751181125677
1950-04-04,1858200,9974.078790335745,9976.678814616997,9979.275961034666
1950-04-05,1858200,9973.061952346248,9975.55001533388,9978.188086799997
1950-04-06,1858200,9971.486277803066,9973.885155971377,9976.428245342286
1950-04-07,1858200,9969.724381924083,9972.069852689689,9974.653127662707
1950-04-08,1858200,9967.791885332244,9970.413881419652,9972.868981118658
1950-04-09,1858200,9971.218116716249,9973.846566896551,9976.23814530019
1950-04-10,1858200,9995.820263046106,9999.143842667409,10002.848508685856
1950-04-11,1858200,9995.730993762974,9999.111036318398,10002.872543953843
1950-04-12,1858200,9992.582496951853,9995.992203544392,9999.632782020411
1950-04-13,1858200,9990.25618177547,9993.664536827466,9997.348277819809
1950-04-14,1858200,9988.072439577267,9991.46143119422,9995.264321733655
1950-04-15,1858200,9985.961342878676,9989.355974079359,9993.177386047735
1950-04-16,1858200,9983.91543543517,9987.300771084276,9991.022872641108
1950-04-17,1858200,9982.417894885037,9985.659794623427,9989.509019073505
1950-04-18,1858200,9985.817688063793,9989.10137866965,9992.760213183496
1950-04-19,1858200,9984.275978966754,9987.631856248736,9991.32913984816
1950-04-20,1858200,9982.680649457092,9986.216983538328,9989.782546482624
1950-04-21,1858200,9980.996888261152,9984.379538956568,9987.921477331754
1950-04-22,1858200,9978.971334603735,9982.37220162194,9985.934151927784
1950-04-23,1858200,9977.224674076086,9980.57899980525,9984.271186818365
1950-04-24,1858200,9981.407145104087,9984.870824342674,9988.601786874078
1950-04-25,1858200,10002.054786120214,10005.608099320474,10009.970681863579
1950-04-26,1858200,10001.087754696862,10004.749355807679,10009.06728886252
1950-04-27,1858200,9999.272125031941,10002.968306344348,10007.29520276592
