Year,WBIC,level
1948,779300,1000
1949,779300,981.0368900488523
1950,779300,980.0427382081953
1951,779300,993.4014684538012
1952,779300,997.6726539392544
1953,779300,976.7711587905707
1954,779300,994.0339178016403
1955,779300,978.0987723748847
1956,779300,961.0873079535573
1957,779300,949.4442481028889
1958,779300,918.7280677528458
1959,779300,930.6696930225659
1960,779300,944.6805440586558
1961,779300,948.4677986022078
1962,779300,918.4504889491802
1963,779300,885.863943938726
1964,779300,870.3800620555204
1965,779300,894.6239390096808
1966,779300,871.4684133600203
1967,779300,865.92043260616515
1968,779300,869.33978428678
1969,779300,867.8298427446387
1970,779300,872.3292624677088
1971,779300,864.0195118588468
1972,779300,887.3534572434459
1973,779300,903.1986017165684
1974,779300,909.0671249560311
1975,779300,904.6847755184946
1976,779300,882.8267984751644
1977,779300,887.7951635560083
1978,779300,902.7273280126277
1979,779300,903.1299506517875
1980,779300,905.1151034740374
1981,779300,906.6609206198061
1982,779300,927.3016499870608
1983,779300,922.4942609118872
1984,779300,936.1736659160865
1985,779300,940.4168294630414
1986,779300,957.5061481694411
1987,779300,960.0780825601664
1988,779300,929.7142772970374
1989,779300,915.3622716482653
1990,779300,923.9402484444194
1991,779300,929.6883758988954
1992,779300,933.5641569757878
1993,779300,945.4117741663318
1994,779300,933.0273590812544
1995,779300,946.3465120378651
1996,779300,944.095042115736
1997,779300,943.5199102803105
1998,779300,953.024694243982
1999,779300,958.8399532765657
2000,779300,972.6165699883127
2001,779300,986.8327129785172
2002,779300,963.4659939005952
2003,779300,936.0651175487234
2004,779300,925.3852327597789
2005,779300,915.2136590845319
2006,779300,924.2845928419148
2007,779300,932.0848015230032
2008,779300,966.7029097222319
2009,779300,978.0694822180478
2010,779300,987.6507137367091
2011,779300,979.4218430910331
2012,779300,938.7688466330444
2013,779300,957.1897238186555
2014,779300,940.6837131723224
2015,779300,944.9598467278771
1948,1859400,1000
1949,1859400,996.4404160452866
1950,1859400,986.1725275363447
1951,1859400,1001.9929264543985
1952,1859400,980.4011726925962
1953,1859400,968.5339976177877
1954,1859400,977.809068493826
1955,1859400,965.6824239758365
1956,1859400,950.0927191767735
1957,1859400,935.5063263465306
1958,1859400,921.071158733027
1959,1859400,932.1978366695619
1960,1859400,930.3683573986227
1961,1859400,918.4869744343825
1962,1859400,915.2698731202814
1963,1859400,891.4453103835622
1964,1859400,879.7035961259681
1965,1859400,884.2131574604557
1966,1859400,874.3463897722723
1967,1859400,871.382478469047
1968,1859400,899.7427209124385
1969,1859400,885.6458412973388
1970,1859400,884.9570266329918
1971,1859400,886.3752210814661
1972,1859400,902.2117798534854
1973,1859400,903.3630133197969
1974,1859400,888.8100941305848
1975,1859400,889.475813082099
1976,1859400,846.7151473005434
1977,1859400,858.8833895393902
1978,1859400,865.779488763048
1979,1859400,866.0721317044125
1980,1859400,875.9137854567542
1981,1859400,872.9191958119825
1982,1859400,899.926599102524
1983,1859400,908.8969539112047
1984,1859400,904.2296866000039
1985,1859400,924.0800605528395
1986,1859400,937.2633648377887
1987,1859400,916.6268086245875
1988,1859400,886.4245229925007
1989,1859400,860.3111287734902
1990,1859400,870.6564678412852
1991,1859400,893.3319637386224
1992,1859400,883.4763048104767
1993,1859400,881.612624086843
1994,1859400,880.0500417670025
1995,1859400,890.3270969635817
1996,1859400,904.2570629303042
1997,1859400,903.326841850053
1998,1859400,874.3908888748408
1999,1859400,872.5939268701688
2000,1859400,872.8232623761926
2001,1859400,881.9174963315613
2002,1859400,906.2221407658755
2003,1859400,887.5129335007571
2004,1859400,897.0964360974863
2005,1859400,881.0352799837602
2006,1859400,861.5717460567407
2007,1859400,843.1904730522003
2008,1859400,819.9590057557059
2009,1859400,798.9649841097197
2010,1859400,824.5536664832397
2011,1859400,822.5714500400267
2012,1859400,799.040623783309
2013,1859400,816.4913261541071
2014,1859400,847.1765771408747
2015,1859400,848.1442615526272
1948,1002600,1000
1949,1002600,993.165063310796
1950,1002600,982.6394046488801
1951,1002600,998.4558701640349
1952,1002600,980.1173737594513
1953,1002600,969.9945614462631
1954,1002600,972.5794088194187
1955,1002600,960.726198303556
1956,1002600,947.6270756884886
1957,1002600,933.8313770349931
1958,1002600,918.0361235164768
1959,1002600,932.839230736277
1960,1002600,930.967180179946
1961,1002600,926.0718129132401
1962,1002600,915.9373675738606
1963,1002600,892.6151736630306
1964,1002600,882.1859079481345
1965,1002600,886.8452929484582
1966,1002600,878.8959406272093
1967,1002600,876.0639731353283
1968,1002600,904.4474197488727
1969,1002600,891.4254521809819
1970,1002600,887.0312841580156
1971,1002600,889.8223808102288
1972,1002600,903.912078610355
1973,1002600,908.356979386019
1974,1002600,903.3182464190577
1975,1002600,897.7873566934242
1976,1002600,852.8836610414781
1977,1002600,865.6028085701546
1978,1002600,880.1052240036657
1979,1002600,879.0417821011824
1980,1002600,884.4029366937276
1981,1002600,877.9995325788408
1982,1002600,898.2377153744643
1983,1002600,909.0295048199732
1984,1002600,902.310448796422
1985,1002600,924.3210275715247
1986,1002600,922.9715121818065
1987,1002600,905.1097499396119
1988,1002600,892.2946329980944
1989,1002600,870.6454972721572
1990,1002600,884.8350959480848
1991,1002600,909.2203694098853
1992,1002600,903.8826870647271
1993,1002600,899.7836912895716
