WBIC,WiscID,Date,Value,Year
1012000,428,1981-07-30,328196.44800000003,1981
1012000,428,1984-06-20,328440.288,1984
1012000,428,1985-05-02,328821.288,1985
1012000,428,1987-11-04,328583.544,1987
1012000,428,1993-07-20,328699.368,1993
1012000,428,1998-04-01,327916.032,1998
1012000,428,1999-09-09,327641.71200000006,1999
1012000,428,2001-08-03,327541.12799999997,2001
1012000,428,2002-07-26,328181.20800000004,2002
1012000,428,2003-09-30,327571.608,2003
1012000,428,2004-08-13,326940.672,2004
1012000,428,2005-08-17,327355.2,2005
1012000,428,2006-09-12,327007.728,2006
1012000,428,2006-12-14,326815.704,2006
1012000,428,2007-08-03,326596.248,2007
1012000,428,2008-08-14,327224.136,2008
1012000,428,2009-08-03,326992.488,2009
1012000,428,2010-07-20,327044.304,2010
1012000,428,2011-08-04,327769.728,2011
1012000,428,2012-08-27,327995.27999999997,2012
1012000,428,2013-07-25,327196.704,2013
1012000,428,2014-07-28,326992.488,2014
1012000,428,2015-08-24,326928.48,2015
